"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"3824";"29774";"169069";"122743";"3767";"30599";"160368";"132300";"3799";"27478";"161036";"146144";"4944";"28403";"148132";"179886";"4866";"25537";"154213";"195180";"2393";"26024";"175952";"233605";"4965";"29095";"166818";"246171";"3786";"29163";"215716";"280103";"1907";"24808";"185413";"300816";"2517";"22286";"225372";"344551";"754";"22428";"246609";"392642";"718";"18656";"295980";"400459";"502";"18968";"322237";"489526";"632";"17952";"356552";"589983";"591";"17597";"349695";"643639"
"Acre";"2769";"41108";"39784";"100";"2654";"49420";"36836";"85";"3086";"58507";"43833";"-";"2718";"44409";"45486";"60";"3458";"43845";"45093";"400";"3573";"41697";"41876";"-";"3079";"39832";"36387";"100";"2437";"35402";"34850";"127";"517";"28530";"30140";"480";"513";"26650";"28970";"1660";"490";"24720";"29870";"3280";"503";"23000";"34105";"6185";"480";"21895";"40460";"6570";"465";"22025";"40831";"12010";"418";"21945";"37625";"17578"
"Amazonas";"5407";"89368";"13952";"180";"5211";"95586";"14494";"180";"4613";"95399";"14580";"220";"4169";"95991";"11237";"20";"4639";"80562";"7529";"-";"3828";"72431";"6604";"-";"3600";"79591";"3920";"-";"3873";"84968";"3638";"-";"3962";"78088";"3612";"-";"3964";"80203";"2890";"2500";"4272";"79742";"3066";"2700";"5825";"73523";"2882";"3000";"4775";"75034";"2554";"5900";"4732";"66153";"3340";"8237";"5812";"72870";"6147";"24472"
"Roraima";"563";"6251";"6500";"1400";"564";"6800";"6500";"3600";"566";"6800";"6500";"5000";"475";"8225";"6061";"14900";"381";"8763";"6181";"16000";"290";"7851";"5221";"23820";"246";"7201";"5130";"24035";"238";"5632";"6625";"18725";"160";"6270";"9155";"37670";"210";"6342";"9621";"39930";"200";"6595";"13900";"49800";"164";"5545";"21373";"71178";"190";"5970";"15720";"102785";"185";"6264";"13774";"128197";"160";"5321";"18158";"117215"
"Pará";"10897";"297482";"203669";"85450";"12592";"294049";"210634";"106018";"13365";"301364";"215935";"119686";"13801";"302300";"221022";"189746";"13350";"344323";"205150";"243171";"13301";"309164";"228871";"337056";"13359";"291872";"198461";"433813";"12596";"294337";"266993";"500385";"13475";"265578";"226708";"557542";"14920";"272905";"259122";"577764";"14906";"275730";"320749";"643267";"14908";"285911";"362071";"753781";"17479";"278356";"405590";"839560";"17476";"254370";"485255";"1007539";"17516";"268896";"477962";"1194024"
"Amapá";"130";"11500";"3600";"-";"130";"13180";"3147";"-";"130";"12800";"2600";"-";"135";"11902";"2270";"4550";"170";"14500";"2150";"17220";"140";"12825";"1757";"11365";"135";"12016";"1672";"15442";"95";"12954";"1679";"19050";"246";"10145";"1408";"18800";"438";"10125";"1248";"19476";"393";"10537";"1306";"20300";"332";"10571";"1338";"6715";"280";"11399";"2506";"6504";"236";"9821";"2372";"7350";"220";"11200";"1800";"7500"
"Tocantins";"10803";"20869";"83229";"352875";"25524";"17632";"86358";"396132";"27405";"16535";"96973";"415463";"27548";"15697";"95565";"536545";"36032";"12047";"122313";"719356";"36395";"13847";"162078";"830031";"37875";"15035";"161258";"845745";"37268";"13254";"226619";"842160";"39254";"15374";"217873";"898582";"39179";"14396";"259121";"905281";"30789";"15160";"316908";"962399";"36419";"16618";"334551";"1113801";"29918";"16651";"422261";"1167122";"36645";"15530";"527055";"1331484";"36112";"14737";"471066";"1428227"
"Maranhão";"50477";"210060";"382814";"495756";"48565";"207554";"381297";"530539";"49534";"196564";"451900";"556178";"49806";"191007";"511361";"564546";"46810";"188080";"551885";"677540";"47685";"173798";"456746";"761225";"45633";"130908";"334109";"783654";"45494";"101388";"470456";"817719";"45368";"81013";"412696";"926656";"47405";"61241";"426096";"977598";"47240";"56414";"455590";"960900";"47182";"55018";"483152";"1023541";"47953";"52341";"514675";"1099871";"45096";"49913";"535302";"1190047";"46022";"48064";"496073";"1302915"
"Piauí";"12841";"59038";"310043";"343092";"15194";"46729";"350734";"383618";"15629";"61183";"354837";"444856";"14547";"38161";"383743";"551561";"14774";"28808";"405631";"626799";"15022";"38839";"409277";"668618";"15353";"37518";"483738";"563084";"15309";"37121";"471678";"694947";"14594";"34887";"480675";"711123";"15938";"37822";"450951";"766044";"16097";"40448";"467765";"757978";"17892";"41527";"521923";"832063";"17827";"40883";"585294";"872906";"17951";"44991";"601766";"945551";"18010";"46014";"442105";"1080496"
"Ceará";"43024";"109155";"551984";"1020";"41370";"85083";"725301";"-";"40248";"89117";"535959";"1145";"32739";"66956";"360877";"-";"25190";"60747";"474619";"-";"19149";"58511";"495927";"-";"16123";"58926";"475646";"-";"15128";"56339";"562831";"-";"12273";"62581";"570213";"80";"9867";"61653";"524476";"-";"9619";"58599";"538259";"450";"9432";"57141";"557785";"1414";"8431";"66018";"583791";"2220";"8725";"67122";"600298";"4944";"8838";"74423";"572432";"3546"
"Rio Grande do Norte";"65326";"30509";"30847";"-";"59463";"25714";"73777";"-";"71300";"31025";"23205";"-";"66171";"8084";"42761";"-";"65912";"15791";"47897";"-";"59491";"14944";"42915";"-";"60489";"10465";"36866";"-";"62729";"13436";"35404";"-";"64240";"22241";"44783";"-";"64171";"20149";"59896";"-";"68724";"22409";"58887";"-";"66667";"22498";"45473";"-";"68626";"22216";"60387";"-";"65765";"27227";"66428";"100";"64678";"27244";"70955";"100"
"Paraíba";"123691";"25783";"98898";"-";"118097";"23316";"164678";"-";"125985";"20668";"78522";"-";"122070";"15247";"50321";"-";"119877";"15366";"85636";"350";"120559";"15221";"65286";"-";"122770";"15619";"83798";"-";"100235";"15480";"84454";"-";"101724";"14901";"100290";"-";"97751";"15387";"92791";"-";"100458";"14843";"97765";"-";"101363";"14321";"86374";"-";"102399";"14916";"98856";"37";"109237";"15016";"101039";"-";"110981";"16121";"106853";"-"
"Pernambuco";"361937";"66670";"252655";"-";"345416";"49890";"296665";"-";"309928";"53520";"256466";"-";"302752";"39922";"56332";"-";"305376";"36511";"215407";"-";"315467";"48132";"196187";"-";"266223";"43462";"222514";"-";"257722";"25501";"199008";"-";"257120";"50441";"185695";"-";"238662";"46678";"169246";"-";"261088";"50179";"178021";"-";"279658";"43671";"183755";"300";"285017";"38856";"193735";"-";"260822";"50538";"184857";"100";"270601";"55911";"184668";"-"
"Alagoas";"434370";"20397";"53233";"-";"434684";"18051";"49152";"-";"433300";"20915";"17072";"-";"445033";"18411";"29008";"-";"420072";"20445";"34480";"-";"308006";"23079";"34224";"278";"306667";"25422";"29510";"343";"321994";"34594";"42199";"445";"285275";"33198";"33234";"1066";"304748";"37044";"38627";"3141";"270530";"38053";"38523";"1224";"291462";"40664";"55778";"3312";"279705";"41314";"54019";"3686";"290003";"34032";"54358";"5796";"274550";"37565";"52459";"5054"
"Sergipe";"46665";"32622";"182068";"-";"50988";"32429";"173922";"-";"53158";"30730";"153933";"-";"52852";"28738";"161154";"-";"52903";"27502";"178409";"-";"57258";"25305";"175135";"-";"58499";"20845";"172285";"-";"45841";"18917";"169462";"-";"40309";"12123";"145126";"-";"35491";"11786";"148624";"-";"38580";"11046";"152103";"-";"37258";"10782";"175237";"-";"40494";"12587";"176093";"-";"44947";"12356";"184915";"-";"51477";"12196";"178893";"-"
"Bahia";"96743";"262025";"809537";"1017250";"116171";"254610";"799428";"1045240";"118033";"242306";"589945";"1112627";"117833";"185029";"679597";"1211267";"118856";"204058";"825897";"1276369";"104863";"195043";"814311";"1440135";"108441";"182693";"620836";"1536678";"76911";"112399";"613214";"1583864";"73546";"92271";"638261";"1603203";"73823";"94425";"609846";"1585842";"76612";"100097";"594905";"1622475";"72993";"98695";"617726";"1699965";"75453";"103482";"667268";"1774655";"77268";"105144";"694618";"1923627";"75020";"103678";"649224";"1969339"
"Minas Gerais";"746527";"55477";"1191454";"1020751";"831329";"57220";"1197026";"1019990";"882624";"60421";"1272944";"1028421";"896582";"60533";"1278381";"1153720";"949801";"60334";"1325456";"1244575";"917878";"59459";"1281452";"1328641";"911614";"58151";"1219262";"1472224";"907027";"35594";"1085791";"1542788";"921870";"36504";"1049785";"1509510";"944041";"38103";"1125265";"1627741";"1005145";"37212";"1139726";"1695702";"977766";"38837";"1193535";"1935260";"977624";"38891";"1314591";"2022682";"1058212";"39536";"1228588";"2214362";"1118810";"40115";"1115757";"2274950"
"Espírito Santo";"81393";"13894";"28122";"-";"76488";"11214";"34426";"-";"73459";"11714";"31704";"-";"75821";"9240";"26486";"-";"76284";"9723";"21809";"-";"76683";"8690";"18642";"-";"67906";"8242";"13305";"-";"50109";"7751";"13122";"-";"52242";"7166";"13930";"-";"45360";"7270";"13130";"-";"43217";"7427";"12822";"-";"53374";"7464";"13787";"-";"52697";"7487";"15624";"80";"53123";"7705";"18305";"1000";"53411";"7530";"16684";"504"
"Rio de Janeiro";"133286";"13789";"7053";"-";"105091";"14814";"7353";"-";"117892";"19662";"6165";"-";"108144";"12956";"5639";"-";"92389";"13643";"4737";"-";"79388";"11132";"2440";"-";"56770";"11065";"2817";"-";"55579";"11742";"2763";"-";"52676";"11313";"2544";"-";"53512";"14314";"1784";"-";"52958";"14767";"1655";"-";"61454";"11847";"2019";"77";"59789";"12109";"2383";"242";"52667";"12103";"1963";"756";"54729";"11460";"1525";"748"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
