target,target_label,modelo,status,conjunto,MAE,MSE,RMSE,MAE_relativo_pct,ano_validacao
area_colhida_ha,Area colhida,Regressao Linear,baseline,teste_final,629633.0933050043,1471934985728.5442,1213233.2775392144,89.26089626886105,
area_colhida_ha,Area colhida,Random Forest default,default,teste_final,141509.878974359,158407203522.96884,398004.0245059952,20.06136393156599,
area_colhida_ha,Area colhida,Random Forest tunado,tunado,teste_final,148368.42013888888,158734045619.00104,398414.41442171874,21.033675485632063,
area_colhida_ha,Area colhida,LightGBM default,default,teste_final,148482.88806886686,166312751720.42874,407814.6045943288,21.049903206399158,
area_colhida_ha,Area colhida,LightGBM tunado,tunado,teste_final,157688.55007702252,148976216457.92166,385974.37279944075,22.35495792848018,
area_plantada_ha,Area plantada,Regressao Linear,baseline,teste_final,653455.225017761,1488729043928.7842,1220134.8466168747,92.05224997483369,
area_plantada_ha,Area plantada,Random Forest default,default,teste_final,149378.91025641025,169812997680.22086,412083.7265413679,21.043009928518938,
area_plantada_ha,Area plantada,Random Forest tunado,tunado,teste_final,153240.61931980058,173519917008.71298,416557.21936933586,21.587008957715817,
area_plantada_ha,Area plantada,LightGBM default,default,teste_final,151885.95884245128,162684584623.59018,403341.77148367633,21.396177910510406,
area_plantada_ha,Area plantada,LightGBM tunado,tunado,teste_final,165231.84089961505,157250860303.35422,396548.68591807765,23.276212569698103,
quantidade_produzida_t,Quantidade produzida,Regressao Linear,baseline,teste_final,11531452.047149757,1217418369899818.8,34891522.89453441,119.33322212756694,
quantidade_produzida_t,Quantidade produzida,Random Forest default,default,teste_final,1272252.2724358975,9782195160301.014,3127650.101961697,13.165901606157291,
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,tunado,teste_final,1303920.982247151,10007012119320.31,3163386.1792895775,13.493625223872362,
quantidade_produzida_t,Quantidade produzida,LightGBM default,default,teste_final,2217021.6124286377,26542223061338.137,5151914.504467066,22.942846352377277,
quantidade_produzida_t,Quantidade produzida,LightGBM tunado,tunado,teste_final,1617171.0024022106,11586995057237.418,3403967.5464430354,16.735292802576648,
rendimento_medio_producao_kg_ha,Rendimento medio,Regressao Linear,baseline,teste_final,7232.026787141568,97919861.06234017,9895.44648120236,35.14440432942663,
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest default,default,teste_final,2119.739391025641,18068905.12035096,4250.7534767792595,10.300982065452548,
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,tunado,teste_final,2224.6706010309053,18291566.90763498,4276.86414416392,10.81090065117429,
rendimento_medio_producao_kg_ha,Rendimento medio,LightGBM default,default,teste_final,2174.504259302004,14387625.539636618,3793.1023634535118,10.56711474587546,
rendimento_medio_producao_kg_ha,Rendimento medio,LightGBM tunado,tunado,teste_final,2065.178887941075,12565786.81014808,3544.825356790949,10.03584250813921,
area_colhida_ha,Area colhida,Regressao Linear,baseline,validacao_temporal,552615.9200823749,1107860725592.7295,1052352.6344168887,89.88355241953975,
area_colhida_ha,Area colhida,Random Forest default,default,validacao_temporal,126691.00028846154,100129682470.66788,310447.00136098644,20.68638495595773,
area_colhida_ha,Area colhida,Random Forest tunado,tunado,validacao_temporal,127032.21371527779,82950189564.93718,285490.1900013813,20.71037806972558,
area_colhida_ha,Area colhida,LightGBM default,default,validacao_temporal,191150.606359428,181375522197.75278,417375.6953669352,31.195956732819248,
area_colhida_ha,Area colhida,LightGBM tunado,tunado,validacao_temporal,175382.9720037776,138132925785.09225,362031.23639580444,28.616968911356288,
area_plantada_ha,Area plantada,Regressao Linear,baseline,validacao_temporal,553005.5756708365,1109817855983.251,1053287.512286806,89.4271402762661,
area_plantada_ha,Area plantada,Random Forest default,default,validacao_temporal,122372.58646634615,89965594724.64642,295291.9782216986,19.86097350886681,
area_plantada_ha,Area plantada,Random Forest tunado,tunado,validacao_temporal,124438.40982905983,78666520246.30464,277143.6218163837,20.176503974236972,
area_plantada_ha,Area plantada,LightGBM default,default,validacao_temporal,185990.53228814923,175544357434.76053,409882.3289231105,30.177473261138495,
area_plantada_ha,Area plantada,LightGBM tunado,tunado,validacao_temporal,172968.9898464721,143685295279.42413,369905.28566637344,28.051036223765145,
quantidade_produzida_t,Quantidade produzida,Regressao Linear,baseline,validacao_temporal,12134201.29046441,1297233885872305.0,36009631.515644364,128.07427653966235,
quantidade_produzida_t,Quantidade produzida,Random Forest default,default,validacao_temporal,1152620.4380048076,6147490203912.338,2368199.0155289853,12.174247543205725,
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,tunado,validacao_temporal,1283416.493255876,14841911604357.03,3223760.5129683386,13.557164386690403,
quantidade_produzida_t,Quantidade produzida,LightGBM default,default,validacao_temporal,4037606.200005014,188095039702308.88,12771320.386217235,42.722160316374634,
quantidade_produzida_t,Quantidade produzida,LightGBM tunado,tunado,validacao_temporal,2713652.3727315986,107741951220033.08,9181223.851776928,28.706020816786122,
rendimento_medio_producao_kg_ha,Rendimento medio,Regressao Linear,baseline,validacao_temporal,4900.609350308541,52790229.92746952,7250.701233024097,24.219632949875308,
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest default,default,validacao_temporal,1984.7320913461538,18848812.959709857,4319.4816676439905,9.80736732613319,
