target,target_label,cultura,modelo,status,conjunto,n_linhas,MAE,MSE,RMSE,MAE_relativo_pct
area_colhida_ha,Area colhida,Cana_de_acucar,Regressao Linear,baseline,teste_final_por_cultura,78,517519.998089096,1054520521695.7863,1026898.4962963897,135.02059750000112
area_colhida_ha,Area colhida,Cana_de_acucar,Random Forest default,default,teste_final_por_cultura,78,35984.342307692306,4918986436.070999,70135.48628241626,9.388289181035136
area_colhida_ha,Area colhida,Cana_de_acucar,Random Forest tunado,tunado,teste_final_por_cultura,78,47059.75683760684,10210936086.374342,101049.17657444984,12.277856913511062
area_colhida_ha,Area colhida,Cana_de_acucar,LightGBM default,default,teste_final_por_cultura,78,73767.57062960799,21719353460.22486,147374.87391080224,19.245906437065784
area_colhida_ha,Area colhida,Cana_de_acucar,LightGBM tunado,tunado,teste_final_por_cultura,78,65228.305686256346,9065463612.185421,95212.72820471757,17.018018318501415
area_colhida_ha,Area colhida,Mandioca,Regressao Linear,baseline,teste_final_por_cultura,78,395330.2552294691,616760736064.7689,785341.1590288446,862.2596800951019
area_colhida_ha,Area colhida,Mandioca,Random Forest default,default,teste_final_por_cultura,78,14910.272820512826,910338658.4478027,30171.81894496589,32.52097936416104
area_colhida_ha,Area colhida,Mandioca,Random Forest tunado,tunado,teste_final_por_cultura,78,15452.839458689461,873171896.3503665,29549.482167211772,33.7043781293097
area_colhida_ha,Area colhida,Mandioca,LightGBM default,default,teste_final_por_cultura,78,48752.82271264975,10670136108.983253,103296.35089868012,106.33538101338058
area_colhida_ha,Area colhida,Mandioca,LightGBM tunado,tunado,teste_final_por_cultura,78,27472.115070785723,1955966913.3185236,44226.31471554603,59.919767938635985
area_colhida_ha,Area colhida,Milho,Regressao Linear,baseline,teste_final_por_cultura,78,408286.41360897635,604449255810.2213,777463.34692397,51.10554438923118
area_colhida_ha,Area colhida,Milho,Random Forest default,default,teste_final_por_cultura,78,196177.84602564102,299913275762.138,547643.3837472503,24.555741469881557
area_colhida_ha,Area colhida,Milho,Random Forest tunado,tunado,teste_final_por_cultura,78,201573.45527065534,291643384965.2451,540040.1697700322,25.231114292946184
area_colhida_ha,Area colhida,Milho,LightGBM default,default,teste_final_por_cultura,78,170336.21343090045,183626361921.66354,428516.4663366666,21.321123178307623
area_colhida_ha,Area colhida,Milho,LightGBM tunado,tunado,teste_final_por_cultura,78,217691.7624752328,259689905533.5672,509597.78799909167,27.248655991288622
area_colhida_ha,Area colhida,Soja,Regressao Linear,baseline,teste_final_por_cultura,78,1197395.7062924763,3612009429343.4,1900528.7236301901,75.14275981669374
area_colhida_ha,Area colhida,Soja,Random Forest default,default,teste_final_por_cultura,78,318967.0547435897,327886213235.2186,572613.4937592885,20.016828737634807
area_colhida_ha,Area colhida,Soja,Random Forest tunado,tunado,teste_final_por_cultura,78,329387.62898860406,332208689528.0345,576375.4761681264,20.67077354763388
area_colhida_ha,Area colhida,Soja,LightGBM default,default,teste_final_por_cultura,78,301074.94550230925,449235155390.8433,670250.0692956647,18.8940065492252
area_colhida_ha,Area colhida,Soja,LightGBM tunado,tunado,teste_final_por_cultura,78,320362.0170758152,325193529772.61536,570257.4241275736,20.104369822785607
area_plantada_ha,Area plantada,Cana_de_acucar,Regressao Linear,baseline,teste_final_por_cultura,78,542279.2146173879,1082682716130.3546,1040520.4063978537,141.23211605387382
area_plantada_ha,Area plantada,Cana_de_acucar,Random Forest default,default,teste_final_por_cultura,78,37406.237692307695,5463183703.207424,73913.35267194571,9.742143826453411
area_plantada_ha,Area plantada,Cana_de_acucar,Random Forest tunado,tunado,teste_final_por_cultura,78,51596.69301994303,11380041385.805084,106677.27680159952,13.437930018634791
area_plantada_ha,Area plantada,Cana_de_acucar,LightGBM default,default,teste_final_por_cultura,78,78865.10191104807,24004014290.05143,154932.28937200736,20.539760561467375
area_plantada_ha,Area plantada,Cana_de_acucar,LightGBM tunado,tunado,teste_final_por_cultura,78,63135.63106474789,9264821228.578764,96253.94136646438,16.443150563980925
area_plantada_ha,Area plantada,Mandioca,Regressao Linear,baseline,teste_final_por_cultura,78,415613.1038879695,659928141471.5382,812359.6133927008,897.0337540136551
area_plantada_ha,Area plantada,Mandioca,Random Forest default,default,teste_final_por_cultura,78,15034.630000000001,897111993.5152744,29951.827882706497,32.44982042900575
area_plantada_ha,Area plantada,Mandioca,Random Forest tunado,tunado,teste_final_por_cultura,78,15064.00754985755,734509750.2025403,27101.840347152447,32.5132271252478
area_plantada_ha,Area plantada,Mandioca,LightGBM default,default,teste_final_por_cultura,78,43177.8068340964,6810478559.257769,82525.6236526436,93.19232187853811
area_plantada_ha,Area plantada,Mandioca,LightGBM tunado,tunado,teste_final_por_cultura,78,28346.59743914812,1716376211.9054627,41429.17102604713,61.18155196859987
area_plantada_ha,Area plantada,Milho,Regressao Linear,baseline,teste_final_por_cultura,78,436897.896559546,605884981647.4406,778386.1391670849,53.789598432998154
area_plantada_ha,Area plantada,Milho,Random Forest default,default,teste_final_por_cultura,78,213630.66576923075,334087535883.3651,578003.058714541,26.301586286384907
area_plantada_ha,Area plantada,Milho,Random Forest tunado,tunado,teste_final_por_cultura,78,205078.06538461542,310796594966.73065,557491.3407100873,25.24861499980041
area_plantada_ha,Area plantada,Milho,LightGBM default,default,teste_final_por_cultura,78,179476.15491333953,181800551827.3176,426380.7592133088,22.096582238343046
area_plantada_ha,Area plantada,Milho,LightGBM tunado,tunado,teste_final_por_cultura,78,241356.55410486832,275684184529.30194,525056.3631928499,29.71511702552599
area_plantada_ha,Area plantada,Soja,Regressao Linear,baseline,teste_final_por_cultura,78,1219030.6850061407,3606420336465.803,1899057.74963949,76.33411499972077
area_plantada_ha,Area plantada,Soja,Random Forest default,default,teste_final_por_cultura,78,331444.1075641026,338804159140.79565,582068.8611674701,20.754598661025977
area_plantada_ha,Area plantada,Soja,Random Forest tunado,tunado,teste_final_por_cultura,78,341223.71132478636,371168521932.1137,609236.0149663788,21.366984720951923
