uf,ano,cultura,target,target_label,modelo,status,valor_real,valor_predito
AC,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,503.0,1933.1830743245082
AC,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,23000.0,0.0
AC,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,34105.0,230475.0572001984
AC,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6185.0,798992.1481092899
AL,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,291462.0,109185.23646833008
AL,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,40664.0,0.0
AL,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,55778.0,337727.110594204
AL,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3312.0,906244.2015032955
AM,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,5825.0,56303.54124420555
AM,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,73523.0,0.0
AM,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2882.0,284845.41537007946
AM,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3000.0,853362.506279171
AP,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,332.0,1934.54729583289
AP,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,10571.0,0.0
AP,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1338.0,230476.4214217068
AP,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6715.0,798993.5123307983
BA,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,72993.0,610406.6292791804
BA,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,98695.0,282692.5943141452
BA,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,617726.0,838948.5034050546
BA,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1699965.0,1407465.5943141459
CE,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,9432.0,172823.33322083793
CE,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,57141.0,0.0
CE,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,557785.0,401365.20734671195
CE,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1414.0,969882.2982558033
DF,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,205.0,12126.462891891482
DF,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,1250.0,0.0
DF,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,60000.0,240668.33701776544
DF,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,80000.0,809185.427926857
ES,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,53374.0,61534.98608606763
ES,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,7464.0,0.0
ES,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,13787.0,290076.86021194153
ES,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,858593.951121033
GO,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,930954.0,1360415.880401502
GO,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,11440.0,1032701.8454364665
GO,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1882705.0,1588957.7545273758
GO,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3857007.0,2157474.845436467
MA,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,47182.0,362259.8814529306
MA,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,55018.0,34545.84648789535
MA,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,483152.0,590801.7555788045
MA,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1023541.0,1159318.846487896
MG,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,977766.0,980499.8898344752
MG,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,38837.0,652785.8548694398
MG,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1193535.0,1209041.7639603491
