target,target_label,modelo,params,RMSE_medio_validacao,MAE_medio_validacao,MAE_relativo_pct_medio_validacao
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",369905.28566637344,172968.9898464721,28.051036223765145
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 31, ""n_estimators"": 80, ""min_child_samples"": 10, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",399292.4314050122,182449.8272779397,29.606672552256196
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 6, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",462020.71864139626,186353.1129694487,30.225976876532542
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""num_leaves"": 31, ""n_estimators"": 180, ""min_child_samples"": 40, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",606008.3847809397,292342.628835004,47.33541528560788
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""num_leaves"": 31, ""n_estimators"": 180, ""min_child_samples"": 40, ""max_depth"": -1, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",610246.8012466071,295633.09299449367,47.86909164987501
area_plantada_ha,Area plantada,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.0, ""reg_alpha"": 0.1, ""num_leaves"": 15, ""n_estimators"": 80, ""min_child_samples"": 40, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 1.0}",751317.9199499203,339286.0065665972,54.89033584417824
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",362031.23639580444,175382.97200377763,28.616968911356288
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 31, ""n_estimators"": 80, ""min_child_samples"": 10, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",398993.136548314,182924.8246828714,29.868640036109714
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 6, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",450843.96940861724,186770.2940608584,30.46835686745463
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""num_leaves"": 31, ""n_estimators"": 180, ""min_child_samples"": 40, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",610474.6458212729,294794.81271436124,47.998485722123505
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""num_leaves"": 31, ""n_estimators"": 180, ""min_child_samples"": 40, ""max_depth"": -1, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",612668.2001422596,296649.8522878126,48.32264226650568
area_colhida_ha,Area colhida,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.0, ""reg_alpha"": 0.1, ""num_leaves"": 15, ""n_estimators"": 80, ""min_child_samples"": 40, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 1.0}",755452.8574763252,343495.70911002107,55.871945750861244
rendimento_medio_producao_kg_ha,Rendimento medio,LightGBM tunado,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 6, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",4062.237253917931,2098.4567640184036,10.373277689136685
rendimento_medio_producao_kg_ha,Rendimento medio,LightGBM tunado,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 180, ""min_child_samples"": 10, ""max_depth"": 10, ""learning_rate"": 0.06, ""colsample_bytree"": 0.8}",4101.808130434354,2169.7373987254705,10.723392622985994
