target,target_label,modelo,params,RMSE_medio_validacao,MAE_medio_validacao,MAE_relativo_pct_medio_validacao
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.8, ""max_depth"": null}",277143.6218163837,124438.40982905983,20.176503974236972
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": 0.8, ""max_depth"": 8}",350870.6074150477,171193.59828948876,27.727201610219563
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": 0.8, ""max_depth"": 14}",393990.9046972684,174109.44644440932,28.200165497908365
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 14}",436061.1610295834,205967.48112978434,33.26356232607091
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",556262.3934912387,276397.7363090352,44.639236575088205
area_plantada_ha,Area plantada,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 14}",709549.4296344324,326151.0289552828,52.70874371395834
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.8, ""max_depth"": null}",285490.1900013813,127032.21371527779,20.710378069725575
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": 0.8, ""max_depth"": 8}",343814.8811052652,167703.34198969576,27.307530355948835
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": 0.8, ""max_depth"": 14}",402898.91851741064,178175.50414145502,29.03242610072294
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 14}",429257.28924766753,210080.3398002177,34.162686031329024
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",539624.7246482237,274546.96424205846,44.59180213435886
area_colhida_ha,Area colhida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 14}",694664.5060661188,319598.86573528254,51.97495838803147
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 14}",4025.0606193998237,2026.636059476652,10.011767116622602
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.8, ""max_depth"": null}",4189.233380229756,1928.8761618589745,9.531642492775017
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": 0.8, ""max_depth"": 14}",4510.067579278391,2097.15370843296,10.36116091431767
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": 0.8, ""max_depth"": 8}",4579.312598374895,2172.268656217432,10.734154604239798
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",4648.720071562255,2575.566427530026,12.717394345207168
rendimento_medio_producao_kg_ha,Rendimento medio,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 14}",4681.754651938443,2577.9949004420373,12.736477722367937
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": 0.8, ""max_depth"": null}",3223760.5129683386,1283416.493255876,13.557164386690403
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": 0.8, ""max_depth"": 8}",4100832.4974373523,1692783.513741903,17.883388905600206
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": 0.8, ""max_depth"": 14}",6736307.792438666,2197377.762148571,23.223864200196132
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 14}",14085532.761102002,3866618.515675013,40.81545623773552
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 120, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 8}",14129030.24679767,4119473.098032989,43.51113600670666
quantidade_produzida_t,Quantidade produzida,Random Forest tunado,"{""n_estimators"": 180, ""min_samples_split"": 6, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 14}",21243160.948666714,5863696.055078281,61.89429803389627
