Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,27.0,255.8,984.1,25.5,7.5,1.7
2010-02-28,19.0,190.4,983.7,25.9,7.2,1.3
2010-03-31,26.0,188.8,984.4,25.7,8.1,1.1
2010-04-30,11.0,83.0,985.5,25.9,6.5,1.2
2010-05-31,9.0,13.4,986.6,24.3,7.8,1.2
2010-06-30,3.0,21.2,987.9,25.2,6.6,1.1
2010-07-31,6.0,10.4,987.9,23.9,7.0,1.6
2010-08-31,4.0,6.4,986.9,26.3,7.7,1.6
2010-09-30,4.0,7.2,984.5,27.7,7.9,2.0
2010-10-31,13.0,99.0,984.2,26.5,8.3,1.7
2010-11-30,21.0,134.8,982.9,25.6,9.3,1.6
2010-12-31,20.0,138.8,982.3,25.2,7.0,1.8
2011-01-31,23.0,176.2,982.9,24.9,6.5,1.6
2011-02-28,21.0,277.0,984.1,24.6,6.7,1.4
2011-03-31,22.0,167.6,983.9,24.7,5.6,1.1
2011-04-30,25.0,238.4,984.9,25.0,6.4,1.0
2011-05-31,8.0,41.2,986.4,24.4,7.3,1.2
2011-06-30,9.0,28.8,986.8,24.8,6.9,1.1
2011-07-31,1.0,4.0,986.5,25.2,8.2,1.7
2011-08-31,5.0,21.0,986.8,25.5,10.9,1.5
2011-09-30,8.0,146.4,986.4,26.5,6.7,1.0
2011-10-31,18.0,157.8,983.3,25.4,7.4,0.8
2011-11-30,16.0,222.2,983.0,26.1,7.2,0.9
2011-12-31,23.0,223.2,983.6,25.2,9.2,0.8
2012-01-31,27.0,521.6,984.3,24.5,7.2,0.6
2012-02-29,27.0,535.4,984.2,24.3,5.2,0.4
2012-03-31,24.0,260.2,985.5,24.7,5.8,0.3
2012-04-30,18.0,80.8,985.2,25.2,7.3,0.3
2012-05-31,2.0,20.4,986.5,24.8,6.3,0.1
2012-06-30,10.0,108.2,987.8,24.3,8.0,0.2
2012-07-31,3.0,30.6,988.1,24.2,6.2,0.6
2012-08-31,5.0,16.2,987.7,25.7,7.8,1.8
2012-09-30,6.0,59.2,986.5,26.7,10.1,1.9
2012-10-31,15.0,278.6,984.4,26.0,8.4,1.7
2012-11-30,21.0,281.2,983.4,25.8,7.4,1.8
2012-12-31,24.0,230.6,983.6,25.1,6.2,1.8
2013-01-31,23.0,370.8,985.0,25.4,7.6,1.8
2013-02-28,22.0,282.2,984.5,25.3,5.6,1.8
2013-03-31,24.0,257.2,985.3,25.1,5.9,1.7
2013-04-30,12.0,63.4,986.1,25.4,7.0,1.9
2013-05-31,17.0,81.2,986.8,24.7,5.7,1.5
2013-06-30,16.0,33.8,987.1,25.2,5.8,1.2
2013-07-31,7.333333333333333,20.733333333333334,988.8,24.0,6.4,1.5
2013-08-31,8.0,71.8,987.5,24.3,7.5,2.0
2013-09-30,9.0,62.866666666666674,986.2,26.0,8.6,2.0
2013-10-31,17.0,140.8,985.0,25.4,7.9,1.3
2013-11-30,22.0,233.8,983.1,25.4,7.4,1.6
2013-12-31,22.0,244.4,983.8,25.5,6.3,2.0
2014-01-31,26.0,391.2,984.9,24.9,5.5,1.8
2014-02-28,23.0,250.4,984.6,24.9,6.5,1.7
2014-03-31,26.0,312.8,985.5,24.8,6.7,1.5
2014-04-30,18.0,155.8,988.1,25.0,5.2,0.8
2014-05-31,20.0,333.1333333333333,992.8333333333334,25.3,5.0,0.6999999999999998
2014-06-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-07-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-08-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-09-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-10-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-11-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2014-12-31,13.0,164.4,989.3000000000001,25.0,6.4,1.4000000000000001
2015-01-31,26.0,297.8,986.1,24.4,7.0,1.4
2015-02-28,23.0,284.8,985.1,24.9,7.5,1.6
2015-03-31,11.0,106.06666666666668,990.9666666666667,26.833333333333332,4.566666666666666,0.9
2015-04-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2015-05-31,5.0,35.2,992.5,25.7,4.8999999999999995,0.9
2015-06-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2015-07-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2015-08-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2015-09-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2015-10-31,3.0,11.6,986.4333333333334,27.5,7.1,1.5666666666666667
2015-11-30,14.0,321.6,983.6,26.6,6.8,1.9
2015-12-31,21.0,318.6,985.3,25.8,7.4,1.7
2016-01-31,21.0,150.4,984.3,26.3,8.5,1.8
2016-02-29,21.0,262.0,985.0,25.8,7.6,1.6
2016-03-31,15.0,217.33333333333334,986.5333333333333,25.9,6.6,1.2
2016-04-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2016-05-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2016-06-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2016-07-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2016-08-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2016-09-30,2.0,8.6,992.8000000000001,24.933333333333334,6.266666666666667,0.4333333333333333
2016-10-31,15.0,237.2,984.4,26.0,9.5,1.5
2016-11-30,12.0,76.93333333333334,983.4,25.7,9.3,1.9
2016-12-31,18.0,223.0,983.9,25.4,6.6,2.0
2017-01-31,18.0,148.20000000000002,985.2,24.6,7.0,1.6
2017-02-28,20.0,219.6,984.6,24.9,6.5,1.8
2017-03-31,23.0,284.6,985.0,24.9,7.1,1.4
2017-04-30,15.0,151.0666666666667,985.9,24.7,7.3,1.7
2017-05-31,18.333333333333332,245.4,985.3333333333334,25.3,6.7,1.3
2017-06-30,4.0,14.6,987.5,25.4,7.8,1.5
2017-07-31,2.0,5.866666666666667,985.9666666666667,26.8,9.2,1.7666666666666668
2017-08-31,1.0,15.199999999999998,986.9666666666667,25.833333333333332,8.7,0.9666666666666668
2017-09-30,12.0,34.2,986.1,26.3,8.0,1.7
2017-10-31,4.0,8.333333333333334,993.1999999999999,26.46666666666667,4.933333333333334,0.9666666666666667
2017-11-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2017-12-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-01-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-02-28,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-03-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-04-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-05-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-06-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-07-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2018-08-31,2.0,8.6,992.8000000000001,24.933333333333334,6.266666666666667,0.4333333333333333
2018-09-30,12.0,97.6,985.2,26.3,9.3,2.1
2018-10-31,18.0,168.4,984.5,26.0,6.2,1.9
2018-11-30,2.0,8.6,992.8000000000001,24.933333333333334,6.266666666666667,0.4333333333333333
2018-12-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-01-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-02-28,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-03-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-04-30,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-05-31,14.619402985074627,181.9438596491228,988.7327731092438,25.543548387096774,5.871653543307087,1.083193277310924
2019-06-30,2.0,8.6,992.8000000000001,24.933333333333334,6.266666666666667,0.4333333333333333
2019-07-31,11.0,92.4,996.6,23.8,4.1,0.6
2019-08-31,4.0,10.4,997.4,24.9,3.7,0.6
2019-09-30,10.0,92.4,995.8,27.0,4.1,0.7
2019-10-31,21.0,247.0,996.2,25.7,4.8,0.7
2019-11-30,22.0,384.2,994.6,25.9,4.0,0.6
