Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,15.0,13.4,1004.8,27.0,6.3,1.8
2010-02-28,11.0,2.2,1004.1,27.1,6.6,1.6
2010-03-31,7.0,1.4,1004.8,27.9,6.7,1.7
2010-04-30,9.0,1.8,1005.6,26.9,6.2,1.5
2010-05-31,5.0,1.0,1006.0,27.4,5.5,1.5
2010-06-30,1.0,0.2,1007.5,27.3,5.0,1.4
2010-07-31,0.0,0.0,1007.2,27.0,5.0,1.4
2010-08-31,1.0,3.8,1006.6,28.3,5.6,1.1
2010-09-30,7.0,92.2,1004.8,29.1,6.7,1.5
2010-10-31,13.0,84.8,1004.5,28.3,8.5,1.7
2010-11-30,18.0,212.0,1003.5,27.4,6.4,1.6
2010-12-31,23.0,224.4,1003.2,26.8,5.9,1.2
2011-01-31,21.0,200.8,1004.1,26.2,6.1,1.7
2011-02-28,21.0,310.0,1005.1,25.9,7.1,1.5
2011-03-31,22.0,258.2,1004.9,26.1,5.7,1.5
2011-04-30,23.0,412.4,1005.7,26.0,5.1,1.4
2011-05-31,21.0,186.2,1005.7,26.8,5.0,1.5
2011-06-30,15.0,129.8,1006.4,27.6,5.3,1.7
2011-07-31,9.0,47.0,1006.4,27.7,5.1,1.0
2011-08-31,7.0,48.2,1006.5,28.3,8.8,1.2
2011-09-30,10.0,35.4,1006.4,27.9,5.0,1.1
2011-10-31,12.666666666666666,174.20000000000002,1003.8,27.8,6.5,1.2
2011-11-30,13.0,130.0,1003.8,27.4,6.7,1.3
2011-12-31,18.0,303.6,1003.9,27.0,5.2,1.0
2012-01-31,26.0,551.8,1005.2,25.9,7.0,1.0
2012-02-29,21.0,207.6,1005.0,25.6,6.3,1.2
2012-03-31,22.0,277.4,1005.8,26.1,6.8,1.2
2012-04-30,20.0,364.8,1005.6,26.4,5.2,1.0
2012-05-31,14.0,126.6,1006.2,26.9,8.6,1.0
2012-06-30,9.0,47.8,1007.4,27.3,6.8,1.0
2012-07-31,14.0,94.6,1007.2,27.0,7.3,1.0
2012-08-31,9.0,18.4,1007.2,27.6,7.2,0.9
2012-09-30,10.0,68.2,1006.9,28.2,7.6,1.0
2012-10-31,12.0,37.0,1004.3,28.5,5.5,1.1
2012-11-30,16.0,180.6,1003.7,28.1,6.7,1.0
2012-12-31,17.0,236.6,1004.1,26.4,7.3,1.2
2013-01-31,23.0,299.0,1005.5,26.8,8.7,1.1
2013-02-28,26.0,264.6,1005.0,26.0,6.6,0.8
2013-03-31,20.0,299.4,1005.6,26.4,0.0,0.0
