Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,27.0,405.2,1009.9,25.1,4.1,1.2
2010-02-28,23.0,454.2,1009.1,25.6,4.5,1.2
2010-03-31,27.0,385.2,1009.6,25.9,4.2,1.1
2010-04-30,26.0,403.8,1009.3,25.9,3.9,0.9
2010-05-31,30.0,616.4,1009.8,25.6,3.4,0.8
2010-06-30,25.0,287.2,1011.5,25.6,2.9,0.9
2010-07-31,29.0,219.6,1011.1,25.4,4.5,0.8
2010-08-31,19.0,126.6,1011.0,25.8,3.4,0.9
2010-09-30,8.0,24.133333333333336,1010.0,26.7,3.3,1.0
2010-10-31,4.0,12.6,1010.3333333333334,27.03333333333333,3.0666666666666664,0.8333333333333334
2010-11-30,14.0,107.2,1007.8,26.2,4.2,1.0
2010-12-31,27.0,446.6,1007.6,25.0,4.5,0.9
2011-01-31,29.0,462.6,1008.7,24.3,5.1,1.0
2011-02-28,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-03-31,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-04-30,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-05-31,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-06-30,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-07-31,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-08-31,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-09-30,19.17117117117117,259.0262626262626,1010.3562499999999,25.587719298245613,3.57741935483871,0.9178571428571429
2011-10-31,10.0,23.066666666666663,1008.1,25.9,3.8,1.0
2011-11-30,17.0,114.8,1008.4,25.6,3.5,1.0
2011-12-31,23.0,176.0,1008.9,25.2,4.3,1.0
2012-01-31,31.0,497.8,1009.8,24.3,4.8,0.9
2012-02-29,27.0,537.4,1009.6,24.0,4.1,0.9
2012-03-31,26.0,298.2,1010.2,24.8,4.0,1.1
2012-04-30,30.0,454.4,1009.7,25.1,4.3,0.9
2012-05-31,27.0,329.2,1010.5,25.2,3.5,0.9
2012-06-30,28.0,226.6,1011.7,25.2,5.0,0.9
2012-07-31,25.0,107.6,1011.2,25.3,3.6,0.9
2012-08-31,13.0,107.4,1011.8,25.9,3.6,1.0
2012-09-30,6.0,18.2,1011.6,26.5,3.8,1.1
2012-10-31,5.0,12.2,1009.1,26.7,3.2,1.1
2012-11-30,9.0,39.8,1008.5,26.6,4.2,1.2
2012-12-31,19.0,188.6,1008.6,25.8,3.8,1.1
2013-01-31,28.0,211.4,1010.4,25.1,4.2,1.3
2013-02-28,27.0,514.2,1009.4,24.6,4.2,0.9
2013-03-31,28.0,278.0,1010.1,25.3,4.0,1.2
2013-04-30,28.0,350.2,1010.4,25.4,4.1,1.0
2013-05-31,14.0,104.86666666666667,1010.7,25.166666666666668,3.9,0.9
2013-06-30,26.333333333333332,286.6666666666667,1009.8666666666667,25.23333333333333,4.3,1.0
2013-07-31,22.333333333333332,140.86666666666667,1009.9,26.166666666666668,3.3,1.0333333333333334
2013-08-31,2.0,3.6666666666666665,1010.9666666666667,26.433333333333337,3.4,1.0333333333333334
2013-09-30,16.333333333333332,92.06666666666666,1011.5,25.833333333333332,3.6,0.9333333333333332
