Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,10.666666666666666,31.2,949.9,24.3,6.5,1.4
2010-02-28,6.333333333333333,30.0,949.6,25.1,10.2,1.4
2010-03-31,9.666666666666666,199.0,949.8,24.4,7.9,1.3
2010-04-30,5.666666666666667,44.8,950.7,23.6,6.0,1.3
2010-05-31,4.0,8.4,950.7,23.9,4.3,1.3
2010-06-30,0.3333333333333333,0.0,954.0,21.5,4.7,1.6
2010-07-31,0.3333333333333333,0.2,954.3,21.6,4.6,1.8
2010-08-31,0.3333333333333333,0.6,953.8,21.8,5.0,1.9
2010-09-30,4.333333333333333,7.0,951.6,24.3,5.3,1.9
2010-10-31,8.0,165.4,948.8,27.0,5.6,1.6
2010-11-30,9.666666666666666,214.8,948.4,24.5,6.3,1.3
2010-12-31,8.0,239.4,947.2,24.2,6.9,1.3
2011-01-31,8.666666666666666,256.8,948.4,23.7,5.2,1.3
2011-02-28,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2011-03-31,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2011-04-30,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2011-05-31,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2011-06-30,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2011-07-31,0.3333333333333333,0.3333333333333333,954.1333333333332,21.3,4.7,1.6666666666666667
2011-08-31,0.0,0.0,952.6,23.1,5.2,1.8
2011-09-30,0.0,0.0,952.8,23.6,4.6,2.0
2011-10-31,6.0,129.2,948.9,25.5,3.9,1.5
2011-11-30,8.0,162.8,949.6,23.4,6.0,1.4
2011-12-31,8.333333333333334,277.0,949.1,23.6,5.9,1.3
2012-01-31,19.666666666666668,205.6,949.6,23.7,5.2,1.3
2012-02-29,5.333333333333333,73.0,949.6,23.7,5.2,1.3
2012-03-31,8.0,142.6,949.7,24.6,5.5,1.3
2012-04-30,4.666666666666667,28.2,949.6,24.4,4.2,1.3
2012-05-31,4.333333333333333,7.0,951.9,23.6,5.0,1.5
2012-06-30,0.0,0.19999999999999998,953.6666666666666,22.7,4.1,1.5666666666666667
2012-07-31,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2012-08-31,0.3333333333333333,0.0,955.0,22.2,5.2,2.0
2012-09-30,7.833333333333333,75.8388489208633,950.9550898203593,24.50809248554913,5.225945945945946,1.481437125748503
2012-10-31,8.333333333333334,101.66666666666667,949.2,26.9,5.6,1.7
2012-11-30,10.333333333333334,340.2,948.9,24.2,5.3,1.3
2012-12-31,9.333333333333334,15.0,948.4,25.6,5.6,1.4
2013-01-31,8.0,145.6,949.8,24.8,6.1,1.4
2013-02-28,4.0,10.0,949.1,25.5,5.0,1.4
2013-03-31,8.666666666666666,121.6,949.5,25.7,7.3,1.3
2013-04-30,4.666666666666667,29.6,951.0,24.2,4.4,1.3
2013-05-31,0.0,0.2,951.6,23.9,4.0,1.4
2013-06-30,0.0,0.0,952.7,23.2,4.2,1.6
2013-07-31,0.0,0.0,953.8,22.5,4.1,1.7
2013-08-31,0.0,0.0,952.8,23.3,4.3,1.9
2013-09-30,0.3333333333333333,1.2,951.5,26.3,5.5,1.8
2013-10-31,6.666666666666667,86.6,950.3,26.0,7.4,1.6
2013-11-30,9.666666666666666,311.2,948.6,25.1,5.1,1.4
2013-12-31,10.333333333333334,341.2,948.8,24.0,6.8,1.4
2014-01-31,4.666666666666667,29.8,950.4,24.6,6.0,1.4
2014-02-28,5.333333333333333,94.4,949.6,24.6,5.0,1.4
2014-03-31,8.666666666666666,118.6,950.2,24.7,4.7,1.2
2014-04-30,5.333333333333333,63.4,950.6,24.2,4.5,1.2
2014-05-31,9.333333333333334,14.2,951.4,23.7,4.5,1.4
2014-06-30,0.0,0.0,953.2,22.4,5.0,1.6
2014-07-31,0.0,0.0,955.2,22.4,4.6,1.8
2014-08-31,0.0,0.0,953.8,22.9,5.3,1.9
2014-09-30,0.0,0.0,951.5,25.8,4.4,1.8
2014-10-31,4.0,17.6,950.8,26.5,5.4,1.9
2014-11-30,8.0,178.8,949.2,25.8,4.9,1.5
2014-12-31,8.666666666666666,117.4,950.2,24.5,4.4,1.4
2015-01-31,3.6666666666666665,27.4,950.5,25.8,4.8,1.5
2015-02-28,8.0,173.8,950.6,24.4,7.6,1.4
2015-03-31,6.0,129.0,950.0,25.1,10.8,1.2
2015-04-30,8.0,243.8,950.5,24.8,4.4,1.1
2015-05-31,8.333333333333334,46.0,952.6,22.8,5.3,1.3
2015-06-30,0.0,0.0,954.5,21.9,4.3,1.6
2015-07-31,0.0,0.0,954.2,22.2,4.8,1.7
2015-08-31,0.0,0.0,953.5,22.7,4.7,1.8
2015-09-30,0.3333333333333333,0.0,950.6,26.3,4.4,1.8
2015-10-31,4.333333333333333,3.2,950.1,27.8,5.9,1.8
2015-11-30,6.0,121.6,948.4,28.0,6.7,1.6
2015-12-31,4.0,17.2,949.9,27.4,5.8,1.6
2016-01-31,10.666666666666666,454.4,950.1,24.4,7.5,1.4
2016-02-29,2.6666666666666665,1.4,950.7,25.5,4.6,1.3
2016-03-31,9.333333333333334,13.0,950.9,26.4,6.3,1.4
