Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,13.0,63.6,946.9,24.9,7.1,2.2
2010-02-28,5.0,74.6,946.3,26.4,6.9,2.6
2010-03-31,9.0,155.2,946.6,26.3,6.5,2.1
2010-04-30,15.0,247.6,946.9,24.7,5.9,1.6
2010-05-31,2.0,39.2,947.4,24.7,4.7,1.8
2010-06-30,5.0,6.6,949.8,24.1,8.4,2.9
2010-07-31,2.0,2.4,949.7,24.2,7.1,3.3
2010-08-31,0.0,0.0,949.8,24.6,7.8,3.6
2010-09-30,0.0,0.0,948.3,25.8,6.8,3.5
2010-10-31,8.0,59.6,946.7,27.0,7.9,3.0
2010-11-30,1.0,0.2,945.2,27.1,7.5,3.0
2010-12-31,13.0,3.8,944.8,24.7,6.6,2.3
2011-01-31,9.0,83.73333333333333,945.4,24.0,7.0,1.9
2011-02-28,6.666666666666667,103.66666666666667,946.2,23.3,7.5,1.9
2011-03-31,12.666666666666666,156.93333333333334,946.1,23.6,5.4,1.7
2011-04-30,16.0,156.9333333333333,946.6,23.8,5.4,1.7
2011-05-31,11.0,14.4,947.5,23.4,5.9,2.0
2011-06-30,1.0,0.2,948.9,23.5,6.1,2.3
2011-07-31,2.0,1.6,949.3,23.4,8.7,3.2
2011-08-31,2.0,7.8,949.5,24.9,8.4,3.3
2011-09-30,0.0,0.0,949.5,25.5,8.6,4.3
2011-10-31,4.0,25.0,946.1,26.7,6.8,3.2
2011-11-30,6.0,33.6,946.3,25.5,7.0,3.1
2011-12-31,3.0,13.6,946.2,26.4,7.4,3.0
2012-01-31,7.0,19.6,946.5,26.3,7.5,3.0
2012-02-29,12.0,184.4,946.5,24.8,7.1,2.0
2012-03-31,13.0,105.2,947.0,24.1,5.9,1.7
2012-04-30,6.0,5.2,946.9,25.0,7.6,1.6
2012-05-31,3.0,4.0,948.2,25.8,6.7,2.4
2012-06-30,4.0,11.8,949.5,25.4,7.2,2.8
