Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,17.0,170.8,899.5,22.0,6.5,1.9
2010-02-28,11.0,171.4,899.3,22.5,6.2,2.1
2010-03-31,19.0,211.0,899.2,22.1,5.8,1.9
2010-04-30,7.0,114.0,900.4,21.3,5.2,2.2
2010-05-31,5.0,27.2,900.5,20.8,5.8,2.0
2010-06-30,1.0,0.6,903.3,19.0,6.7,2.3
2010-07-31,0.0,0.0,903.3,19.2,6.0,2.7
2010-08-31,1.0,1.0,902.8,20.2,6.6,2.8
2010-09-30,2.0,6.4,900.7,22.8,6.1,2.9
2010-10-31,14.0,117.6,898.7,23.0,6.9,2.0
2010-11-30,21.0,287.0,897.8,20.9,6.1,1.8
2010-12-31,23.0,321.2,896.6,21.4,6.1,1.8
2011-01-31,19.0,217.4,897.7,21.5,5.6,2.0
2011-02-28,15.0,175.6,898.7,21.5,5.6,1.7
2011-03-31,23.0,259.0,898.3,21.4,6.4,1.8
2011-04-30,10.0,85.4,900.1,21.3,5.6,2.1
2011-05-31,2.0,6.0,900.9,20.1,5.2,2.2
2011-06-30,2.0,2.8,902.0,19.0,5.5,2.1
2011-07-31,0.0,0.0,902.3,19.0,6.2,2.4
2011-08-31,1.3333333333333333,0.0,901.9,21.2,6.4,2.6
2011-09-30,2.0,7.6,901.8,22.2,7.0,2.7
2011-10-31,20.0,245.4,898.7,21.0,7.3,2.1
2011-11-30,19.0,326.2,898.5,20.6,6.1,2.0
2011-12-31,21.0,322.0,898.3,21.0,6.0,1.8
2012-01-31,23.0,302.2,899.1,20.7,7.5,1.9
2012-02-29,13.0,60.8,899.3,21.4,7.5,2.0
2012-03-31,14.0,178.2,899.7,21.9,5.4,1.9
2012-04-30,9.0,118.8,899.8,21.9,5.1,1.8
2012-05-31,6.0,48.0,901.7,19.9,6.0,2.3
2012-06-30,0.0,0.0,902.5,19.9,6.2,2.1
2012-07-31,0.0,0.0,902.6,19.2,5.9,2.4
2012-08-31,0.3333333333333333,0.0,903.9,19.7,6.9,3.2
2012-09-30,3.0,12.2,901.9,23.0,6.6,2.6
2012-10-31,6.0,54.8,899.1,23.7,6.5,2.4
2012-11-30,23.0,366.8,897.9,21.4,5.7,1.8
2012-12-31,18.0,143.6,898.4,22.3,6.0,1.8
2013-01-31,16.0,207.9333333333333,899.1,21.4,4.7,1.8
2013-02-28,10.0,128.6,899.2,22.6,5.2,1.9
2013-03-31,18.0,203.6,899.6,22.1,5.4,1.8
2013-04-30,9.0,89.2,900.7,21.0,5.3,1.9
2013-05-31,3.0,25.6,901.4,20.2,5.8,2.0
2013-06-30,5.0,48.2,902.3,19.8,4.9,2.1
2013-07-31,0.0,0.0,903.1,19.3,6.2,2.3
2013-08-31,1.0,1.0,902.1,20.6,6.0,2.7
2013-09-30,5.0,46.6,901.1,22.1,7.3,2.7
2013-10-31,14.0,151.0,899.9,22.1,5.6,2.3
2013-11-30,16.0,204.8,898.2,21.6,5.5,2.0
2013-12-31,27.0,350.2,897.7,21.4,5.2,1.8
2014-01-31,13.0,125.6,900.2,21.9,6.3,2.0
2014-02-28,13.0,158.2,899.3,21.7,5.8,2.0
