Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2017-08-31,1.0,4.0,946.9,24.399999999999995,8.5,2.1999999999999997
2017-09-30,3.0,1.7333333333333334,946.0,26.6,8.8,3.2
2017-10-31,6.0,70.0,942.8,28.0,8.5,2.6
2017-11-30,18.0,188.8,942.0,24.9,10.1,2.4
2017-12-31,20.0,359.4,942.3,24.4,8.4,2.0
2018-01-31,18.0,276.4,943.2,25.0,10.8,1.7
2018-02-28,17.0,224.6,942.7,24.8,7.0,1.8
2018-03-31,15.0,271.4,943.2,25.7,9.8,1.7
2018-04-30,8.0,50.0,945.7,23.7,9.0,1.8
2018-05-31,2.0,14.2,947.0,22.6,6.9,2.1
2018-06-30,0.0,0.0,947.9,23.2,6.7,1.9
2018-07-31,0.0,0.0,947.8,23.2,7.5,2.2
2018-08-31,2.0,1.0,947.0,24.5,8.9,2.3
2018-09-30,6.0,35.4,943.9,26.1,8.7,2.3
2018-10-31,15.0,186.0,943.1,26.1,9.2,1.9
2018-11-30,20.0,179.8,942.6,24.5,8.8,2.1
2018-12-31,18.0,234.8,943.7,25.5,10.7,1.9
2019-01-31,8.0,35.53333333333333,944.6333333333332,24.73333333333333,12.5,1.4000000000000001
2019-02-28,17.0,192.4,943.6,25.4,7.1,1.9
2019-03-31,13.0,113.0,944.7,25.2,6.4,1.8
2019-04-30,11.0,284.8,944.7,24.8,6.1,1.3
2019-05-31,6.0,34.6,945.6,24.0,5.6,1.5
2019-06-30,0.0,0.0,948.4,22.7,6.7,2.1
2019-07-31,1.0,2.0,947.9,22.4,9.2,2.4
2019-08-31,2.0,4.2,948.2,24.9,9.1,2.7
2019-09-30,2.0,8.8,944.4,29.0,8.5,2.5
2019-10-31,13.0,99.8,943.1,27.4,8.2,2.2
2019-11-30,15.0,236.0,942.1,26.2,7.5,2.0
2019-12-31,21.0,230.8,942.9,25.2,6.9,1.8
2020-01-31,17.0,172.2,942.6,25.7,6.9,2.1
2020-02-29,16.0,325.8,943.9,25.0,7.2,1.9
2020-03-31,14.0,142.6,943.8,25.5,8.3,1.6
2020-04-30,9.0,23.733333333333334,945.3,24.6,7.8,1.5
2020-05-31,3.0,8.4,946.8000000000001,20.5,6.2,1.5
2020-06-30,0.0,0.0,947.5,23.4,7.7,1.9
2020-07-31,0.6666666666666666,0.0,947.1,23.5,7.0,2.2
2020-08-31,9.333333333333334,74.06666666666668,943.6666666666666,27.133333333333336,8.6,1.8666666666666665
2020-09-30,1.6666666666666667,108.60000000000001,946.2666666666668,23.399999999999995,7.3,1.5666666666666664
2020-10-31,7.333333333333333,106.73333333333333,944.7333333333332,24.933333333333334,7.5,1.7333333333333334
2020-11-30,5.333333333333333,34.4,943.9666666666667,25.76666666666667,7.8,1.7333333333333334
2020-12-31,1.6666666666666667,108.60000000000001,946.2666666666668,23.399999999999995,7.3,1.5666666666666664
2021-01-31,9.0,32.06666666666667,945.1,24.866666666666664,5.3,1.0333333333333334
2021-02-28,10.666666666666666,82.6,945.6,24.46666666666667,5.6,1.3333333333333333
2021-03-31,9.666666666666666,98.26666666666667,943.4666666666667,23.46666666666667,6.1,1.2333333333333334
2021-04-30,9.0,76.93333333333334,946.6,23.8,6.7,1.6333333333333335
2021-05-31,13.0,247.6,943.3333333333334,24.96666666666667,7.1,1.8666666666666665
2021-06-30,3.0,8.066666666666666,947.1999999999999,22.1,6.6,1.7333333333333332
2021-07-31,0.0,0.0,948.9,21.4,7.2,1.9
2021-08-31,0.0,0.0,946.9,25.2,8.5,2.2
2021-09-30,3.0,19.0,944.0,29.3,7.8,2.1
2021-10-31,13.0,186.8,943.2,26.3,8.7,2.0
2021-11-30,16.0,203.33333333333334,942.0,24.9,6.7,1.6
2021-12-31,13.0,220.6,941.0,25.3,7.0,1.2
2022-01-31,17.0,213.2,942.7,25.0,5.7,1.3
2022-02-28,15.0,258.3333333333333,943.1,25.1,6.2,1.1
2022-03-31,11.0,163.6,943.5,25.5,6.7,0.9
2022-04-30,4.0,84.2,944.3,25.4,7.6,1.0
2022-05-31,2.0,10.0,946.7,22.3,6.3,1.2
2022-06-30,3.0,1.0,946.7,22.7,5.3,1.2
2022-07-31,0.0,0.0,947.2,23.8,7.3,1.6
2022-08-31,0.0,0.0,946.5,24.8,8.3,2.2
2022-09-30,9.666666666666666,132.79999999999998,944.5,26.7,6.5,2.1
2022-10-31,16.333333333333332,198.4666666666667,943.5,26.0,6.8,1.7
2022-11-30,6.0,51.4,942.5,24.5,7.1,1.8
2022-12-31,12.0,206.13333333333333,941.8,24.3,5.8,1.7
2023-01-31,19.0,254.60000000000002,943.4,24.0,8.3,1.4
2023-02-28,12.0,180.13333333333333,944.1,25.0,6.8,1.2
2023-03-31,14.0,85.2,944.6,24.9,6.4,1.2
2023-04-30,9.0,21.2,944.3,24.4,8.5,1.1
2023-05-31,1.0,0.0,946.7,23.1,5.6,1.1
2023-06-30,5.0,2.2,948.4,21.7,5.4,1.2
2023-07-31,0.0,0.0,947.9,23.6,8.1,1.3
2023-08-31,1.0,0.3333333333333333,945.9,25.9,9.3,1.6
