Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2019-09-30,1.0,0.3333333333333333,1005.5666666666667,28.866666666666664,6.533333333333334,2.6666666666666665
2019-10-31,4.0,6.6,1005.2,28.1,6.0,2.4
2019-11-30,5.0,41.4,1003.9,28.4,5.2,2.2
2019-12-31,12.0,91.8,1004.3,27.9,6.2,2.2
2020-01-31,30.0,485.4,1006.1,26.1,6.9,1.6
2020-02-29,22.0,318.2,1006.1,26.3,7.5,1.6
2020-03-31,26.0,178.8,1006.0,26.5,5.9,1.6
2020-04-30,25.0,393.2,1006.5,26.5,6.8999999999999995,1.8
2020-05-31,17.0,204.6,1007.0,27.5,6.733333333333334,1.8
2020-06-30,9.0,43.8,1007.1,27.4,6.6000000000000005,2.1
2020-07-31,2.0,9.0,1006.8,27.4,5.866666666666667,2.5
2020-08-31,0.0,0.0,1006.7,27.8,6.333333333333333,2.6666666666666665
2020-09-30,4.0,10.8,1006.1,28.3,5.733333333333333,2.233333333333333
2020-10-31,3.0,21.6,1005.1,28.7,5.599999999999999,1.9333333333333333
2020-11-30,20.0,155.4,1004.7,27.4,6.666666666666667,1.7666666666666668
2020-12-31,13.0,129.0,1004.8,27.2,6.633333333333333,2.033333333333333
2021-01-31,17.0,187.6,1004.7,26.7,7.066666666666667,1.8666666666666665
2021-02-28,20.0,452.6,1005.1,26.1,7.0,1.7
2021-03-31,27.0,411.8,1005.4,25.9,7.8,1.7999999999999998
2021-04-30,20.0,282.2,1005.2,27.1,7.266666666666667,1.7333333333333332
2021-05-31,16.0,195.6,1006.5,27.2,6.733333333333334,1.8
2021-06-30,10.0,98.2,1007.2,26.8,6.566666666666666,2.033333333333333
2021-07-31,12.0,86.8,1008.1,26.7,6.566666666666666,2.033333333333333
2021-08-31,6.0,37.0,1007.0,27.0,6.599999999999999,2.1
2021-09-30,12.301369863013699,156.58529411764704,1005.9929577464789,27.46111111111111,6.544736842105263,2.0842105263157893
2021-10-31,12.301369863013699,156.58529411764704,1005.9929577464789,27.46111111111111,6.544736842105263,2.0842105263157893
2021-11-30,12.301369863013699,156.58529411764704,1005.9929577464789,27.46111111111111,6.544736842105263,2.0842105263157893
