Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,19.333333333333332,389.6666666666667,937.9,24.2,8.4,1.9
2010-02-28,14.333333333333334,178.0666666666667,938.4,24.5,9.7,1.8
2010-03-31,20.0,144.4,938.3,25.0,10.0,2.4
2010-04-30,11.333333333333334,119.46666666666665,940.6,24.566666666666663,9.2,2.3
2010-05-31,14.0,141.20000000000002,939.1333333333333,24.53333333333333,8.1,1.6333333333333335
2010-06-30,7.666666666666667,61.13333333333333,941.8666666666667,21.900000000000002,6.4,1.5666666666666664
2010-07-31,5.0,40.199999999999996,941.8666666666667,21.333333333333332,10.8,1.4333333333333333
2010-08-31,1.0,8.466666666666667,938.0,23.6,8.4,1.2666666666666666
2010-09-30,4.0,30.0,939.2,25.2,10.9,2.8
2010-10-31,16.0,59.0,938.7,23.9,12.2,0.7
2010-11-30,23.0,12.6,937.0,23.6,8.0,0.9
2010-12-31,15.0,5.2,935.5,24.2,9.6,1.5
2011-01-31,10.0,105.86666666666667,936.7,23.6,8.8,1.4
2011-02-28,13.333333333333334,410.9333333333334,938.1,23.5,8.6,1.6
2011-03-31,16.666666666666668,325.8,937.2,23.0,8.0,2.0
2011-04-30,7.0,59.2,940.0,23.1,7.0,1.9
2011-05-31,1.0,3.0,942.1,20.2,8.3,2.1
2011-06-30,2.0,51.0,942.1,19.3,13.0,1.9
2011-07-31,1.0,0.2,941.8,20.8,11.0,2.1
2011-08-31,5.0,6.2,941.5,21.9,11.1,1.6
2011-09-30,3.0,20.2,941.2,24.8,14.9,0.7
2011-10-31,14.0,185.6,937.8,24.0,9.0,0.9
2011-11-30,10.0,91.4,937.5,24.3,9.2,1.3
2011-12-31,17.0,120.4,937.2,24.0,7.4,1.2
2012-01-31,21.333333333333332,170.46666666666667,937.6,23.3,6.3,0.8
2012-02-29,22.666666666666668,275.53333333333336,938.7,23.8,7.4,1.1
2012-03-31,12.0,90.4,939.8,23.2,10.4,1.7
2012-04-30,12.0,89.6,939.7,23.1,11.7,1.6
2012-05-31,11.0,126.2,942.0,19.9,7.9,2.0
2012-06-30,9.0,101.6,942.4,19.5,9.9,1.1
2012-07-31,2.0,0.8,943.0,19.2,6.6,1.4
2012-08-31,5.333333333333333,0.0,943.5,22.1,7.6,1.9
2012-09-30,5.0,37.6,941.2,24.8,10.9,2.3
2012-10-31,11.0,75.2,938.3,25.3,13.4,2.4
2012-11-30,16.0,254.6,936.9,24.3,10.3,1.9
2012-12-31,15.0,159.6,937.5,24.8,9.5,1.2
2013-01-31,18.0,185.2,937.9,24.1,10.3,1.4
2013-02-28,18.0,354.8,938.7,23.4,8.7,1.4
2013-03-31,20.0,211.0,939.0,24.0,10.1,1.3
2013-04-30,10.0,93.8,940.8,21.8,9.1,0.8
2013-05-31,8.0,41.4,941.5,21.4,11.3,1.0
2013-06-30,13.0,105.4,942.2,20.4,8.3,0.7
2013-07-31,6.0,53.0,943.9,18.6,10.8,1.0
2013-08-31,5.0,0.0,942.6,19.4,9.7,1.7
2013-09-30,5.0,24.133333333333336,940.7,23.2,12.1,2.3
2013-10-31,14.0,211.2,939.5,23.7,14.5,2.9
2013-11-30,13.0,117.0,937.5,24.2,9.4,2.5
2013-12-31,22.0,78.2,936.6,24.1,10.2,2.0
2014-01-31,16.0,180.6,939.8,23.3,7.0,1.6
2014-02-28,16.666666666666668,195.4,938.5,24.599999999999998,9.8,1.5
2014-03-31,8.0,239.53333333333333,939.2,23.4,8.8,0.8
2014-04-30,17.666666666666668,200.9333333333333,940.4,23.4,6.9,0.9
2014-05-31,4.0,44.6,941.6,19.7,6.7,0.4
2014-06-30,6.0,61.2,942.5,20.2,10.9,0.5
2014-07-31,10.0,130.6,944.4,20.2,6.9,0.6
2014-08-31,9.666666666666666,0.0,942.8,25.4,8.5,1.0
2014-09-30,7.0,19.4,940.0,27.3,9.8,1.3
2014-10-31,11.333333333333334,89.66666666666667,939.6,26.3,10.4,1.3
2014-11-30,10.0,113.0,938.0,23.7,8.9,0.9
2014-12-31,14.0,141.20000000000002,939.1333333333333,24.53333333333333,8.1,1.6333333333333335
2015-01-31,9.0,74.46666666666667,941.1666666666666,21.366666666666664,11.8,1.1333333333333335
