Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,26.0,329.8,961.9,24.1,8.1,1.9
2010-02-28,24.0,345.0,961.7,24.7,9.9,2.0
2010-03-31,26.0,343.2,962.1,25.0,7.3,1.6
2010-04-30,8.0,94.4,963.0,25.3,6.9,1.4
2010-05-31,6.0,26.2,963.9,24.4,5.9,0.8
2010-06-30,0.0,0.0,965.6,24.8,4.2,0.1
2010-07-31,1.0,0.2,965.1,24.0,7.9,0.3
2010-08-31,3.0,2.8,964.6,25.8,7.5,0.9
2010-09-30,0.0,0.0,961.7,28.3,7.3,2.9
2010-10-31,8.0,46.0,962.5666666666666,26.8,9.3,2.3000000000000003
2010-11-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2010-12-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-01-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-02-28,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-03-31,1.0,10.066666666666666,963.2666666666668,26.900000000000002,9.299999999999999,1.6666666666666667
2011-04-30,13.0,183.0,962.5,24.9,0.0,0.0
2011-05-31,1.0,0.2,963.8,24.4,0.0,0.0
2011-06-30,1.0,0.8,964.5,24.5,0.0,0.0
2011-07-31,1.0,1.0,964.2,25.1,0.0,0.0
2011-08-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-09-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-10-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2011-11-30,17.0,227.4666666666666,960.5,25.0,12.7,2.3
2011-12-31,28.0,358.0,960.9,24.3,6.8,2.0
2012-01-31,28.0,293.6,961.2,23.6,6.4,2.4
2012-02-29,22.0,280.4,961.5,23.8,8.9,2.3
2012-03-31,25.0,311.0,962.6,24.2,7.8,2.0
2012-04-30,22.0,116.4,962.4,24.7,5.9,1.7
2012-05-31,6.0,18.2,963.8,24.2,6.3,2.2
2012-06-30,4.0,35.6,964.9,24.2,6.1,2.2
2012-07-31,0.0,0.0,965.1,24.3,6.6,2.5
2012-08-31,1.6666666666666667,0.0,965.1,26.4,7.6,3.1
2012-09-30,1.3333333333333333,0.9333333333333332,963.7666666666668,25.700000000000003,7.1,2.033333333333333
2012-10-31,13.0,72.8,961.6,26.3,13.7,2.5
2012-11-30,23.0,295.4,960.7,24.7,9.0,2.1
2012-12-31,23.0,232.4,960.7,24.8,10.2,2.2
2013-01-31,26.0,262.2,961.7,24.5,8.8,2.2
2013-02-28,22.333333333333332,262.0,961.6,24.1,7.5,2.3
2013-03-31,22.0,235.73333333333335,962.1,24.8,6.4,1.9
2013-04-30,19.0,68.6,963.3,24.1,6.3,2.1
2013-05-31,4.0,17.6,963.8,24.6,6.5,2.1
2013-06-30,5.0,29.6,964.2,25.2,5.9,2.2
2013-07-31,3.0,6.2,965.6,24.4,8.2,2.9
2013-08-31,1.0,1.8,964.4,25.3,9.7,3.3
2013-09-30,6.0,38.8,963.3,26.5,11.2,2.7
2013-10-31,14.0,209.8,962.6,25.2,9.6,2.3
2013-11-30,20.0,292.0,960.8,24.3,8.6,2.4
2013-12-31,27.0,426.4,960.9,24.3,8.9,2.4
2014-01-31,27.0,304.4,962.7,23.8,9.9,2.3
2014-02-28,23.0,305.0,961.6,23.9,8.3,2.1
2014-03-31,13.0,162.86666666666667,961.9,24.4,7.6,2.0
2014-04-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-05-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-06-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-07-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-08-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-09-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-10-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-11-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2014-12-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-01-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-02-28,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-03-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-04-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-05-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-06-30,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2015-07-31,9.0,109.2,963.1666666666666,25.5,6.7,1.0999999999999999
2015-08-31,1.0,33.8,963.7,27.2,7.2,2.6
2015-09-30,1.0,13.0,962.3,28.2,11.9,2.4
2015-10-31,6.0,45.0,962.3,27.5,9.1,2.5
2015-11-30,8.0,60.0,961.1,26.2,10.3,2.2
2015-12-31,21.0,200.6,962.6,25.6,10.9,1.9
2016-01-31,25.0,357.6,961.6,24.6,6.8,2.1
2016-02-29,21.0,161.4,962.5,25.5,8.5,1.9
2016-03-31,28.0,131.4,963.6,24.9,10.1,1.6
2016-04-30,7.0,1.6,963.0,25.6,7.8,1.6
2016-05-31,11.0,8.8,964.9,25.1,5.3,1.5
2016-06-30,2.0,0.8,966.4,24.2,5.5,1.7
2016-07-31,0.0,0.0,965.2,25.6,7.2,2.0
2016-08-31,4.0,3.2,964.2,26.4,7.8,2.1
2016-09-30,8.0,6.0,964.3,25.3,8.5,2.2
2016-10-31,5.0,75.0,961.9,25.9,8.0,2.3
2016-11-30,14.0,182.8,961.1,25.0,8.1,1.9
2016-12-31,28.0,151.2,961.7,24.1,7.5,2.0
2017-01-31,21.333333333333332,268.4666666666667,962.4,24.3,7.0,1.5
2017-02-28,24.0,317.06666666666666,962.2,23.7,9.4,1.7
2017-03-31,22.333333333333332,270.06666666666666,962.4,24.8,9.1,1.4
2017-04-30,19.0,106.8,963.0,24.9,5.1,1.6
2017-05-31,13.0,25.8,963.6,25.2,5.8,1.4
2017-06-30,2.0,0.4,965.0,23.9,5.3,1.5
2017-07-31,0.0,0.0,967.1,24.0,7.2,2.4
2017-08-31,3.0,2.8,963.6,27.2,7.0,1.9
2017-09-30,3.0,26.0,963.3,28.1,7.8,2.1
2017-10-31,16.0,198.26666666666665,962.0,25.7,12.2,2.1
2017-11-30,11.0,6.133333333333333,964.6666666666666,24.7,5.3,1.0666666666666667
2017-12-31,12.881818181818181,143.46213592233008,963.0191666666667,25.1672,7.509655172413794,1.3516666666666666
2018-01-31,22.666666666666668,319.0,962.5,24.900000000000002,10.8,1.7666666666666668
2018-02-28,8.333333333333334,94.99999999999999,963.1999999999999,25.26666666666667,5.2,0.6333333333333334
2018-03-31,13.0,69.53333333333335,963.3333333333334,24.1,6.2,1.7
2018-04-30,22.0,178.2,963.5,24.3,4.9,0.8
2018-05-31,5.0,28.6,964.6,24.3,6.3,0.9
2018-06-30,0.3333333333333333,0.06666666666666667,966.1,23.0,8.1,1.1
2018-07-31,4.333333333333333,0.0,965.5,24.6,6.6,1.7
2018-08-31,4.0,40.2,965.1,25.5,6.3,1.8
2018-09-30,9.0,168.0,962.5,25.7,12.4,1.8
2018-10-31,16.0,312.2,961.8,25.4,9.9,1.5
2018-11-30,21.0,354.6,961.1,24.8,7.8,0.8
