Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2019-07-31,0.3333333333333333,0.6,989.6666666666666,28.1,5.0,1.4666666666666668
2019-08-31,0.0,0.0,990.1,29.1,5.2,1.7
2019-09-30,5.0,63.8,987.6,29.9,6.3,1.8
2019-10-31,15.0,279.6,987.0,26.6,6.2,1.5
2019-11-30,13.0,155.8,986.2,26.5,7.4,1.4
2019-12-31,15.0,162.2,986.5,26.6,6.5,1.5
2020-01-31,24.0,326.2,988.0,26.4,6.2,1.4
2020-02-29,23.0,377.8,988.3,26.1,4.8,1.4
2020-03-31,23.0,398.6,988.2,26.1,5.6,1.4
2020-04-30,16.0,162.2,988.8,26.6,5.5,1.3
2020-05-31,11.0,165.6,989.5,27.0,4.8,1.4
2020-06-30,1.0,16.0,989.7,27.1,4.6,1.4
2020-07-31,0.0,0.0,989.2,27.3,4.6,1.5
2020-08-31,1.0,1.4,988.4,29.0,5.8,1.6
2020-09-30,3.0,70.0,987.3,29.9,5.5,1.6
2020-10-31,7.0,103.8,986.6,28.5,6.1,1.7
2020-11-30,14.0,163.6,986.7,27.4,5.8,1.6
2020-12-31,17.0,261.4,986.9,26.6,5.2,1.5
2021-01-31,17.0,293.8666666666667,986.9,26.3,6.3,1.4
2021-02-28,23.0,430.4,987.4,25.3,5.1,1.4
2021-03-31,24.0,400.8,987.7,25.5,4.5,1.3
2021-04-30,14.0,166.4,987.7,26.4,6.2,1.3
2021-05-31,8.0,19.4,988.9,27.0,5.1,1.3
2021-06-30,1.0,4.2,989.3,27.4,4.5,1.4
2021-07-31,0.0,0.0,990.2,27.7,5.4,1.5
2021-08-31,1.0,6.8,988.7,29.1,7.4,1.6
2021-09-30,12.0,89.6,988.0,28.3,6.0,1.7
2021-10-31,20.0,157.0,987.2,26.8,6.8,1.4
2021-11-30,21.0,164.0,986.8,26.0,6.5,1.3
2021-12-31,20.0,250.6,986.3,25.9,7.6,1.4
2022-01-31,21.0,209.2,987.8,25.5,5.4,1.4
2022-02-28,16.0,209.80000000000004,987.2,26.2,6.1,1.4
2022-03-31,28.0,398.4,987.2,26.0,6.3,1.3
2022-04-30,18.0,164.0,987.3,26.9,5.4,1.3
2022-05-31,4.0,52.6,989.2,26.8,6.8,1.3
2022-06-30,1.0,2.0,988.8,27.4,4.6,1.3
2022-07-31,1.0,1.8,989.3,28.1,4.5,1.5
2022-08-31,0.0,0.0,988.5,28.9,5.8,1.6
2022-09-30,5.0,21.0,987.3,29.7,7.9,1.6
2022-10-31,4.0,42.666666666666664,988.2999999999998,28.23333333333333,6.7,1.5333333333333332
2022-11-30,12.666666666666666,187.86666666666667,987.7666666666668,27.5,5.7,1.5333333333333332
2022-12-31,17.666666666666668,257.4,987.5666666666666,26.46666666666667,6.2,1.4000000000000001
2023-01-31,12.0,110.73333333333333,987.0,28.566666666666666,6.8,1.5
2023-02-28,8.333333333333334,135.0,988.8000000000001,27.133333333333336,4.5,1.4000000000000001
2023-03-31,11.666666666666666,186.46666666666667,989.0,27.666666666666668,4.8,1.4666666666666668
2023-04-30,0.3333333333333333,1.4000000000000001,989.9333333333334,27.366666666666664,4.3,1.4333333333333333
2023-05-31,9.0,61.666666666666664,988.7,27.5,5.5,1.3
2023-06-30,0.0,0.0,989.9,28.2,4.2,1.4
2023-07-31,0.0,0.0,990.0,28.2,5.4,1.4
2023-08-31,3.0,11.6,988.5,29.4,6.9,1.6
