Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,17.0,112.4,965.1,24.9,8.4,3.2
2010-02-28,7.0,16.4,964.6,25.9,10.6,3.7
2010-03-31,7.0,32.6,964.5,26.8,11.1,3.5
2010-04-30,16.0,90.8,964.6,25.6,7.9,3.0
2010-05-31,12.0,37.2,965.4,25.0,8.5,3.1
2010-06-30,20.0,270.8,967.7,23.3,7.8,3.1
2010-07-31,24.0,40.8,968.0,22.0,8.3,3.4
2010-08-31,25.0,52.8,968.8,21.3,8.7,3.6
2010-09-30,16.0,32.4,967.6,22.4,8.9,4.1
2010-10-31,7.0,7.8,965.6,24.7,8.7,3.7
2010-11-30,5.0,2.8,964.3,25.3,8.9,4.3
2010-12-31,7.0,49.2,963.0,25.3,8.3,3.9
2011-01-31,15.0,70.6,963.4,24.9,8.1,3.4
2011-02-28,5.0,35.8,964.1,25.5,8.5,3.5
2011-03-31,9.0,76.8,963.8,25.7,7.6,2.8
2011-04-30,18.0,181.2,964.3,24.6,8.1,3.0
2011-05-31,20.0,192.2,965.4,23.2,8.2,2.8
2011-06-30,21.0,105.4,967.1,22.3,7.5,2.8
2011-07-31,27.0,145.0,967.6,21.2,8.8,3.0
2011-08-31,21.0,69.2,968.3,21.5,7.4,3.1
2011-09-30,15.0,15.6,968.6,22.1,8.8,3.8
2011-10-31,11.0,25.4,965.1,23.8,7.6,3.7
2011-11-30,13.0,23.4,965.0,24.4,8.3,3.9
2011-12-31,3.0,3.6,964.9,25.2,8.9,4.2
2012-01-31,12.0,65.6,965.2,24.6,8.6,3.9
2012-02-29,12.0,50.8,964.8,24.4,8.1,3.7
2012-03-31,7.0,12.6,965.3,25.1,7.9,3.8
2012-04-30,4.0,3.6,965.2,25.3,7.6,3.6
2012-05-31,16.0,21.2,966.7,24.4,7.9,3.6
2012-06-30,9.333333333333334,24.866666666666664,968.1,22.7,7.7,3.1
2012-07-31,17.666666666666668,82.2,968.4,21.4,7.2,3.2
2012-08-31,4.0,4.6,969.6,21.6,8.7,3.9
2012-09-30,2.0,2.0,969.0,23.4,8.3,4.0
2012-10-31,6.0,5.6,966.6,24.0,8.7,4.5
2012-11-30,2.0,1.6,964.8,25.3,7.8,4.2
2012-12-31,6.0,10.0,964.6,25.6,8.4,4.3
2013-01-31,8.0,30.4,965.4,25.7,8.7,4.1
2013-02-28,4.0,7.533333333333334,964.7,26.1,8.4,4.4
2013-03-31,8.333333333333334,14.933333333333335,967.0666666666667,24.2,8.0,3.633333333333333
2013-04-30,9.0,109.2,965.2,25.7,8.6,3.5
2013-05-31,15.0,39.8,966.4,23.9,7.1,2.7
2013-06-30,23.0,74.8,967.3,22.9,7.0,2.8
2013-07-31,23.0,117.4,968.4,21.8,9.2,2.9
2013-08-31,23.0,61.6,968.0,21.9,7.7,3.4
2013-09-30,25.0,19.4,967.9,22.7,8.6,3.8
2013-10-31,11.0,16.4,966.8,24.1,8.3,4.0
2013-11-30,14.0,13.8,964.9,24.5,8.3,4.3
2013-12-31,8.0,18.0,964.9,25.3,8.0,4.3
2014-01-31,4.0,7.0,965.6,25.4,9.1,4.3
2014-02-28,11.0,79.2,964.6,24.6,7.7,3.5
2014-03-31,8.0,30.0,965.2,25.5,8.2,3.5
2014-04-30,13.0,49.2,965.3,25.7,7.6,3.1
2014-05-31,24.0,202.0,965.9,23.5,7.8,2.7
2014-06-30,24.0,40.8,967.6,22.5,7.4,3.0
2014-07-31,21.0,56.0,969.7,22.0,8.0,3.2
2014-08-31,22.0,60.0,969.2,21.8,9.3,3.4
2014-09-30,14.0,54.6,968.2,22.8,8.2,3.7
2014-10-31,18.0,56.4,967.3,23.5,8.1,4.0
2014-11-30,10.0,60.4,965.5,24.4,7.9,3.7
2014-12-31,8.0,8.0,965.9,24.9,8.2,3.9
2015-01-31,8.0,10.2,966.5,25.4,8.6,4.2
2015-02-28,7.0,10.4,965.6,26.0,8.7,4.1
2015-03-31,10.0,46.2,965.3,25.5,8.8,3.6
2015-04-30,4.0,16.6,965.4,26.2,9.3,3.5
2015-05-31,11.0,22.2,966.6,25.3,8.0,3.4
2015-06-30,17.333333333333332,96.26666666666667,967.5666666666666,22.133333333333336,7.3,2.8333333333333335
2015-07-31,8.0,17.2,967.4,23.2,7.4,2.766666666666667
2015-08-31,13.0,20.6,968.8,21.9,8.9,2.8
2015-09-30,8.0,6.6,968.0,23.6,7.7,2.0
2015-10-31,8.0,7.2,967.5,24.2,8.1,1.5
2015-11-30,4.0,4.4,965.3,25.4,7.8,1.8
2015-12-31,7.0,38.4,966.7,25.2,10.1,1.1
2016-01-31,8.0,18.73333333333333,965.3,25.4,9.0,0.3
2016-02-29,19.0,83.13333333333334,964.8333333333334,25.133333333333336,4.9,1.4333333333333336
2016-03-31,14.0,42.4,966.2,25.7,3.6,0.2
2016-04-30,16.0,70.8,965.7,25.0,4.3,0.1
2016-05-31,22.0,101.8,967.5,23.8,2.5,0.0
2016-06-30,20.0,46.8,968.9,23.0,7.1,0.2
2016-07-31,17.0,17.4,968.8,22.7,6.7,0.5
2016-08-31,10.0,14.8,968.8,23.2,8.1,0.4
2016-09-30,12.0,6.6,968.3,24.0,5.9,0.5
2016-10-31,2.0,0.6,966.2,25.0,7.6,0.7
2016-11-30,3.0,1.2,965.3,25.5,8.2,1.1
2016-12-31,6.0,4.6,965.0,25.8,8.0,1.6
2017-01-31,3.0,7.6,965.2,26.0,8.5,1.8
2017-02-28,6.0,5.4,964.8,26.1,8.9,2.0
2017-03-31,9.0,13.2,964.7,26.2,7.7,1.5
2017-04-30,18.0,76.2,965.3,25.3,7.2,0.8
2017-05-31,19.0,81.0,966.4,24.4,7.0,0.2
2017-06-30,29.0,88.6,967.6,22.7,6.4,0.5
2017-07-31,28.0,139.6,969.8,20.9,6.3,0.4
2017-08-31,23.0,20.8,968.6,21.8,5.8,0.1
2017-09-30,20.0,36.2,968.8,22.5,8.2,0.5
2017-10-31,12.0,49.4,966.7,24.0,9.3,2.1
2017-11-30,4.0,6.2,965.1,25.1,7.8,4.4
2017-12-31,4.0,9.4,964.8,25.9,8.3,4.3
2018-01-31,17.333333333333332,68.93333333333334,967.1666666666666,22.933333333333334,8.8,3.466666666666667
2018-02-28,5.666666666666667,12.266666666666667,964.7000000000002,24.933333333333334,7.6,3.3666666666666667
2018-03-31,3.0,4.133333333333333,965.0666666666666,25.96666666666667,8.7,3.233333333333334
2018-04-30,20.0,195.6,965.7,23.8,7.9,2.6
2018-05-31,19.0,66.4,966.7,23.1,7.1,2.9
2018-06-30,19.0,32.6,968.5,22.3,7.6,3.1
2018-07-31,13.0,15.8,968.8,22.2,7.5,3.5
2018-08-31,4.0,1.2,969.1,23.1,9.0,3.8
2018-09-30,1.0,0.2,967.1,23.7,8.6,4.2
2018-10-31,0.0,0.0,965.9,25.1,9.2,4.3
2018-11-30,0.0,0.0,965.2,25.5,8.3,4.7
2018-12-31,7.666666666666667,23.599999999999998,965.8,25.8,8.1,3.8
2019-01-31,6.0,15.733333333333334,966.3,25.8,9.3,0.8
2019-02-28,7.666666666666667,57.333333333333336,965.0,26.2,9.3,3.5
2019-03-31,5.333333333333333,57.333333333333336,965.3,26.0,9.0,3.2
2019-04-30,8.666666666666666,54.800000000000004,965.3,25.5,7.8,2.9
2019-05-31,7.0,42.666666666666664,965.8,25.1,7.7,3.1
2019-06-30,5.666666666666667,18.933333333333334,968.4,23.2,8.1,3.5
2019-07-31,2.0,0.6,968.5,21.9,7.8,3.0
2019-08-31,7.0,5.0,970.0,21.4,9.0,3.4
2019-09-30,1.0,0.2,968.2,22.8,7.9,3.5
2019-10-31,1.0,0.2,966.3,24.4,8.4,4.1
2019-11-30,0.0,0.0,964.7,25.7,7.5,4.1
2019-12-31,0.0,0.0,964.9,26.0,8.5,4.1
2020-01-31,2.3333333333333335,9.0,965.1,26.7,8.6,3.7
2020-02-29,2.3333333333333335,9.0,965.1,26.7,9.1,3.5
2020-03-31,9.333333333333334,72.26666666666667,964.7,26.2,7.7,2.6
2020-04-30,11.0,40.666666666666664,965.6,25.2,6.8,2.4
2020-05-31,16.666666666666668,41.93333333333333,966.1666666666666,24.6,7.1,2.033333333333333
2020-06-30,10.0,27.13333333333333,966.9,23.066666666666663,7.7,3.3333333333333335
2020-07-31,8.333333333333334,40.4,966.8666666666668,23.400000000000002,7.5,3.4666666666666663
2020-08-31,14.0,76.53333333333332,965.5,24.53333333333333,8.2,3.4
2020-09-30,9.0,40.86666666666667,964.8000000000001,25.53333333333333,8.4,3.966666666666667
2020-10-31,17.666666666666668,40.93333333333333,967.3666666666668,22.900000000000002,7.4,3.1999999999999997
2020-11-30,11.0,42.86666666666667,964.1666666666666,24.633333333333336,8.1,3.366666666666667
2020-12-31,6.0,21.733333333333334,968.0,22.53333333333333,8.7,3.733333333333334
2021-01-31,2.6666666666666665,4.066666666666666,966.1333333333333,24.03333333333333,7.8,3.3333333333333335
2021-02-28,6.0,21.733333333333334,968.0,22.53333333333333,8.7,3.733333333333334
2021-03-31,9.0,40.86666666666667,964.8000000000001,25.53333333333333,8.4,3.966666666666667
2021-04-30,14.0,76.53333333333332,965.5,24.53333333333333,8.2,3.4
2021-05-31,21.0,67.26666666666667,967.1999999999999,22.833333333333332,7.2,2.3666666666666667
2021-06-30,2.6666666666666665,4.066666666666666,966.1333333333333,24.03333333333333,7.8,3.3333333333333335
2021-07-31,6.333333333333333,3.866666666666667,968.1333333333333,23.5,9.0,3.466666666666667
2021-08-31,14.0,76.53333333333332,965.5,24.53333333333333,8.2,3.4
2021-09-30,5.666666666666667,24.333333333333332,964.8000000000001,25.5,8.5,3.5666666666666664
2021-10-31,9.0,40.86666666666667,964.8000000000001,25.53333333333333,8.4,3.966666666666667
2021-11-30,6.0,21.733333333333334,968.0,22.53333333333333,8.7,3.733333333333334
2021-12-31,9.0,40.86666666666667,964.8000000000001,25.53333333333333,8.4,3.966666666666667
2022-01-31,17.333333333333332,96.26666666666667,967.5666666666666,22.133333333333336,7.3,2.8333333333333335
2022-02-28,2.6666666666666665,4.066666666666666,966.1333333333333,24.03333333333333,7.8,3.3333333333333335
2022-03-31,2.6666666666666665,4.066666666666666,966.1333333333333,24.03333333333333,7.8,3.3333333333333335
