Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2016-08-31,11.0,126.0,947.4,17.6,7.4,3.1
2016-09-30,7.0,35.0,948.1,19.0,7.9,2.9
2016-10-31,14.0,213.8,944.9,21.4,10.1,3.7
2016-11-30,8.0,109.0,943.9,22.8,9.0,3.2
2016-12-31,20.0,375.2,943.5,22.8,9.4,3.1
2017-01-31,20.0,181.2,944.3,23.5,10.1,2.7
2017-02-28,19.0,301.4,944.1,24.5,9.7,2.9
2017-03-31,16.0,142.4,945.4,23.4,7.4,3.1
2017-04-30,11.0,169.6,946.6,20.6,8.6,3.0
2017-05-31,19.0,161.8,946.9,21.0,7.1,2.7
2017-06-30,10.0,196.2,949.2,19.8,7.1,3.0
2017-07-31,4.0,5.0,953.0,18.5,10.0,3.4
2017-08-31,11.0,145.2,947.5,21.8,9.4,3.9
2017-09-30,5.0,30.8,947.6,25.9,10.1,3.9
2017-10-31,18.0,394.4,944.2,24.9,9.366666666666665,3.2999999999999994
2017-11-30,16.0,205.6,942.8,22.3,6.9,3.2000000000000006
2017-12-31,16.0,291.6,942.5,23.9,7.3,3.0
2018-01-31,11.0,116.26666666666667,945.0666666666666,21.26666666666667,7.4,3.0
2018-02-28,9.0,177.9333333333333,945.4,21.433333333333334,8.5,3.3000000000000003
2018-03-31,12.0,124.40000000000002,944.6666666666666,22.566666666666663,6.5,2.4666666666666663
2018-04-30,2.0,19.400000000000002,947.6999999999999,22.3,7.3,3.6333333333333333
2018-05-31,11.0,160.20000000000002,944.4,23.166666666666668,7.6,2.866666666666667
2018-06-30,11.0,160.20000000000002,944.4,23.166666666666668,7.6,2.866666666666667
2018-07-31,13.0,193.66666666666666,944.6333333333333,22.96666666666667,8.8,3.033333333333333
2018-08-31,13.0,193.66666666666666,944.6333333333333,22.96666666666667,8.7,3.033333333333333
2018-09-30,8.333333333333334,81.93333333333334,945.6333333333333,22.900000000000002,8.0,2.8000000000000003
2018-10-31,5.0,94.0,945.9,23.2,7.5,2.9333333333333336
2018-11-30,13.0,156.6,943.9,22.8,9.0,3.4
2018-12-31,12.0,93.0,944.3,24.7,11.6,2.9
2019-01-31,18.0,323.2,945.6,25.3,8.3,3.1
2019-02-28,14.0,191.0,943.8,24.0,8.1,3.2
2019-03-31,13.0,180.6,945.9,23.0,8.2,2.6
2019-04-30,10.0,91.0,945.7,22.0,6.3,2.1
2019-05-31,16.0,358.2,946.7,19.6,7.6,2.7
2019-06-30,4.0,22.933333333333337,948.2999999999998,18.333333333333332,10.2,3.4333333333333336
2019-07-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2019-08-31,4.0,38.4,950.3666666666667,19.9,9.6,3.5333333333333337
2019-09-30,7.0,78.2,946.1,23.0,11.6,3.7
2019-10-31,10.0,45.2,944.6,24.9,11.9,3.6
2019-11-30,9.0,132.2,943.0,24.4,8.3,3.2
2019-12-31,2.0,23.866666666666664,950.3666666666667,21.26666666666667,7.2,3.3333333333333335
2020-01-31,12.333333333333334,190.86666666666667,944.8333333333334,24.233333333333334,8.3,2.966666666666667
2020-02-29,11.666666666666666,273.93333333333334,945.0333333333333,21.5,9.5,3.3000000000000003
2020-03-31,12.0,124.40000000000002,946.1333333333333,20.3,6.6,2.433333333333333
2020-04-30,8.333333333333334,74.66666666666667,946.5666666666666,21.5,5.3,2.433333333333333
2020-05-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-06-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-07-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-08-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-09-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-10-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-11-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2020-12-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-01-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-02-28,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-03-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-04-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-05-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-06-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-07-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-08-31,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-09-30,9.805194805194805,147.02985074626864,945.6144927536232,22.37323943661972,8.405194805194807,3.1255319148936165
2021-10-31,2.0,11.266666666666667,949.0333333333333,21.133333333333333,7.3,3.6999999999999997
2021-11-30,11.0,28.0,943.0,24.3,7.6,2.9
2021-12-31,5.0,51.8,942.0,25.7,9.0,2.9
2022-01-31,12.0,157.0,942.8,24.8,8.7,3.1
2022-02-28,6.0,94.4,943.5,25.6,7.6,3.0
2022-03-31,16.0,254.4,944.5,23.5,8.8,3.0
