Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2015-08-31,13.779661016949152,133.26782608695652,1013.938679245283,23.321259842519687,5.275,1.2926829268292683
2015-09-30,15.0,126.0,1012.8,22.9,5.6,1.3
2015-10-31,14.0,75.4,1013.7,23.7,5.9,1.6
2015-11-30,18.0,210.4,1010.0,25.1,6.5,1.4
2015-12-31,14.0,103.4,1011.0,26.8,5.5,1.5
2016-01-31,19.0,385.0,1009.9,25.9,4.8,1.3
2016-02-29,13.0,214.2,1011.0,27.0,5.0,1.3
2016-03-31,16.0,395.2,1012.9,26.0,5.4,1.1
2016-04-30,5.0,43.2,1012.8,25.1,5.4,1.1
2016-05-31,11.0,46.2,1016.3,21.6,5.0,1.1
2016-06-30,13.0,52.4,1019.0,19.1,4.3,1.1
2016-07-31,7.0,4.8,1017.8,20.1,5.3,1.2
2016-08-31,10.0,12.2,1016.4,20.9,6.9,1.5
2016-09-30,10.0,53.6,1016.0,22.1,5.5,1.5
2016-10-31,17.0,86.2,1013.4,23.0,6.9,1.8
2016-11-30,16.0,278.0,1011.6,23.7,6.1,1.8
2016-12-31,16.0,178.0,1010.5,25.5,6.3,1.4
2017-01-31,12.0,245.4,1010.3,27.1,5.4,1.4
2017-02-28,12.0,104.0,1011.3,26.8,5.6,1.7
2017-03-31,4.0,11.266666666666666,1010.8333333333334,25.2,4.9,1.2666666666666666
2017-04-30,12.0,79.19999999999999,1016.3333333333334,22.3,4.7,1.2333333333333334
2017-05-31,15.0,89.4,1015.5,21.1,5.3,1.3
2017-06-30,18.0,96.8,1017.8,20.4,4.3,0.9
2017-07-31,16.0,38.0,1023.6,18.8,5.4,1.3
2017-08-31,14.0,51.6,1017.8,19.5,6.2,1.3
2017-09-30,2.0,3.6,1018.2,22.1,6.2,2.0
2017-10-31,11.0,65.6,1012.5,24.3,5.7,1.7
2017-11-30,14.0,148.4,1011.0,23.6,5.8,1.6
