Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,11.0,67.0,1006.1,27.6,9.0,4.6
2010-02-28,12.0,79.0,1005.5,27.9,8.9,4.8
2010-03-31,11.0,64.2,1005.6,28.5,8.1,4.3
2010-04-30,8.0,44.2,1005.3,27.9,9.0,4.3
2010-05-31,6.0,11.2,1006.1,27.3,8.5,4.2
2010-06-30,5.0,93.0,1008.4,26.2,9.4,4.3
2010-07-31,4.0,20.0,1008.7,24.9,10.0,4.8
2010-08-31,16.0,87.4,1009.5,24.6,10.2,5.3
2010-09-30,15.0,36.4,1008.4,25.2,9.8,5.7
2010-10-31,4.0,7.8,1006.9,26.8,9.9,5.1
2010-11-30,9.0,4.8,1005.4,27.2,9.7,5.6
2010-12-31,12.0,43.8,1004.2,27.3,8.7,4.9
2011-01-31,23.0,263.4,1004.4,26.7,7.6,4.0
2011-02-28,15.0,69.8,1005.1,27.5,7.566666666666666,4.133333333333334
2011-03-31,14.0,133.0,1004.8,27.5,7.733333333333333,3.6333333333333333
2011-04-30,28.0,329.8,1005.1,26.6,7.966666666666666,3.6333333333333333
2011-05-31,23.0,362.6,1006.1,25.9,7.8,3.4
2011-06-30,24.0,342.4,1007.9,25.2,7.966666666666666,3.6333333333333333
2011-07-31,16.0,144.2,1008.3,24.6,7.633333333333333,3.233333333333333
2011-08-31,19.0,85.4,1009.2,24.9,8.233333333333333,3.766666666666667
2011-09-30,9.0,10.8,1009.4,25.3,7.833333333333333,3.9
2011-10-31,8.0,14.8,1006.4,26.4,8.2,3.466666666666667
2011-11-30,11.0,38.4,1006.1,27.0,7.4,4.6
2011-12-31,8.0,18.0,1006.2,27.2,7.2,4.6
2012-01-31,15.0,67.4,1006.2,27.2,6.8,4.3
2012-02-29,19.0,103.4,1005.6,26.9,8.0,4.4
2012-03-31,19.0,136.6,1006.1,27.1,7.9,4.4
2012-04-30,17.0,57.0,1006.0,27.2,7.6,4.3
2012-05-31,20.0,172.0,1007.5,26.6,8.0,4.1
2012-06-30,20.0,277.0,1008.9,25.2,7.4,3.7
2012-07-31,21.0,213.8,1009.1,24.8,9.0,4.3
2012-08-31,13.0,59.6,1010.3,24.5,9.9,5.1
2012-09-30,1.0,0.7333333333333334,1007.1333333333332,27.166666666666668,9.1,4.266666666666667
2012-10-31,6.0,36.86666666666667,1007.7333333333332,26.666666666666668,9.4,4.433333333333334
2012-11-30,3.0,1.0,1006.3,26.9,6.8,4.1
2012-12-31,4.0,1.6,1005.7,27.3,7.1,4.5
2013-01-31,6.0,19.0,1006.5,27.7,7.3,4.3
2013-02-28,9.0,56.6,1005.6,27.9,8.2,4.9
2013-03-31,10.0,33.6,1006.0,28.0,8.2,4.3
2013-04-30,12.0,165.2,1006.2,27.8,6.8,3.5
2013-05-31,9.0,32.06666666666667,1007.1,26.7,7.9,3.7
2013-06-30,23.0,364.0,1008.1,25.6,7.9,3.5
2013-07-31,24.0,383.4,1009.2,24.8,7.9,3.7
2013-08-31,16.0,219.2,1008.7,25.0,8.5,4.4
2013-09-30,20.0,185.2,1009.0,25.6,8.9,4.6
2013-10-31,1.0,0.7333333333333334,1007.1333333333332,26.7,8.2,4.1000000000000005
2013-11-30,11.0,35.4,1006.1,26.6,7.4,4.6
2013-12-31,7.0,10.8,1006.3,27.2,6.7,4.1
2014-01-31,12.0,73.6,1006.7,27.1,7.9,4.4
2014-02-28,12.0,50.2,1005.6,27.4,6.6,3.9
2014-03-31,20.0,248.2,1006.1,27.4,7.0,3.6
2014-04-30,15.0,78.2,1006.3,27.6,7.2,3.4
2014-05-31,17.0,183.6,1006.6,26.3,7.0,3.5
2014-06-30,21.0,491.2,1008.3,25.5,8.1,4.0
2014-07-31,24.0,214.6,1010.6,24.8,8.0,4.1
2014-08-31,19.0,83.8,1010.1,25.0,9.2,4.6
2014-09-30,13.0,138.0,1009.3,25.6,9.5,4.5
