Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,20.0,384.4666666666667,945.4,23.6,6.3,1.7
2010-02-28,2.0,20.866666666666667,947.7666666666668,24.599999999999998,6.4,1.8666666666666665
2010-03-31,20.0,262.6666666666667,945.4,24.5,6.0,1.6
2010-04-30,8.0,68.0,946.4,25.3,5.2,1.8
2010-05-31,7.0,16.6,947.3,23.8,5.8,2.0
2010-06-30,1.0,14.466666666666669,948.9,24.8,7.1,1.8
2010-07-31,14.0,310.53333333333336,946.6666666666666,22.6,6.3,1.8
2010-08-31,1.6666666666666667,24.600000000000005,946.3333333333334,25.7,5.6,1.7666666666666668
2010-09-30,5.0,23.0,945.4,27.1,6.9,1.8
2010-10-31,19.0,211.2,945.3,25.1,7.5,1.9
2010-11-30,17.0,64.8,943.9,24.4,6.3,1.8
2010-12-31,22.0,280.4,943.2,24.0,7.5,1.8
2011-01-31,28.0,447.6,943.9,23.0,6.1,1.8
2011-02-28,24.0,308.4,944.8,23.4,6.0,1.6
2011-03-31,26.0,400.0,944.4,23.5,8.3,1.7
2011-04-30,16.0,215.8,945.9,24.6,7.8,1.7
2011-05-31,2.0,7.8,947.2,24.0,5.0,1.9
2011-06-30,0.0,0.0,947.8,24.5,6.1,1.9
2011-07-31,2.0,1.2,947.5,24.8,5.5,2.0
2011-08-31,5.0,88.8,947.5,25.2,6.1,1.9
2011-09-30,13.0,87.4,947.1,25.6,8.2,1.8
2011-10-31,19.0,172.0,944.3,25.0,6.4,2.0
2011-11-30,17.0,216.4,944.0,24.6,5.5,1.9
2011-12-31,25.0,404.6,944.5,23.7,5.4,1.7
2012-01-31,25.0,260.4,944.7,23.3,4.5,1.8
2012-02-29,24.0,317.4,945.1,23.0,5.4,1.7
2012-03-31,25.0,170.6,946.3,23.5,6.5,1.7
2012-04-30,19.0,359.4,946.1,24.1,6.9,1.7
2012-05-31,13.0,78.6,947.4,24.1,5.1,1.8
2012-06-30,6.0,18.4,948.5,23.6,5.0,1.8
2012-07-31,1.0,7.8,948.7,23.5,4.6,1.8
2012-08-31,1.0,0.0,948.5,26.1,5.4,2.0
2012-09-30,8.0,64.0,947.4,26.4,7.2,1.8
2012-10-31,11.0,160.2,945.2,25.5,9.3,1.8
2012-11-30,21.0,309.2,944.2,24.2,5.2,1.7
2012-12-31,22.0,309.2,944.3,24.3,6.1,1.8
2013-01-31,28.0,534.8,945.3,23.6,4.2,1.6
2013-02-28,26.0,372.2,945.1,23.4,5.0,1.7
2013-03-31,26.0,359.6,945.8,24.0,5.0,1.6
2013-04-30,18.0,226.8,946.9,23.6,6.8,1.9
2013-05-31,12.0,161.8,947.5,23.9,4.9,1.8
2013-06-30,10.0,27.2,947.9,24.5,4.6,1.6
2013-07-31,3.0,5.2,949.2,23.5,5.4,1.9
2013-08-31,2.0,7.8,947.9,24.2,6.3,2.1
2013-09-30,11.0,41.6,946.9,25.4,5.7,1.8
2013-10-31,22.0,206.2,946.0,24.4,7.4,1.7
2013-11-30,22.0,257.6,944.1,24.1,5.7,1.9
2013-12-31,24.0,200.4,944.4,24.1,5.0,1.8
2014-01-31,29.0,468.6,946.1,23.1,5.9,1.8
2014-02-28,24.0,370.8,945.2,23.2,6.7,1.7
2014-03-31,29.0,269.2,945.7,23.8,5.4,1.7
2014-04-30,22.0,202.2,946.7,24.2,6.5,1.7
2014-05-31,16.0,94.4,947.2,23.6,5.2,1.8
2014-06-30,6.0,17.0,948.2,23.8,4.8,1.9
2014-07-31,5.0,21.8,949.7,23.5,5.7,1.8
2014-08-31,2.0,43.2,948.2,25.7,6.7,1.7
2014-09-30,14.0,69.0,946.5,26.4,6.1,1.6
2014-10-31,24.0,102.4,946.0,25.2,5.2,1.6
2014-11-30,20.0,397.0,944.8,24.1,5.7,1.6
2014-12-31,26.0,320.2,945.2,23.8,6.7,1.7
2015-01-31,24.0,348.6,946.8,23.9,5.9,1.6
2015-02-28,24.0,283.0,946.1,23.8,7.2,1.8
2015-03-31,29.0,488.6,946.0,23.8,4.5,1.6
2015-04-30,22.0,180.4,946.7,24.4,5.3,1.5
2015-05-31,15.0,180.0,947.7,24.0,4.9,1.8
2015-06-30,5.0,23.2,949.1,24.4,5.4,1.9
2015-07-31,5.0,6.2,948.6,24.5,5.7,1.9
2015-08-31,2.0,11.6,947.2,27.0,6.7,1.8
2015-09-30,2.0,1.4666666666666668,947.8000000000001,25.46666666666667,5.7,1.9666666666666668
2015-10-31,3.0,35.26666666666667,946.3666666666667,24.833333333333332,5.2,1.8666666666666665
2015-11-30,16.0,176.66666666666666,944.7,25.6,6.933333333333334,1.8
2015-12-31,18.0,190.6,946.1,25.2,5.966666666666666,1.6333333333333335
2016-01-31,23.0,361.4,945.1,24.4,5.533333333333334,1.6333333333333335
2016-02-29,26.0,331.2,946.1,24.8,5.633333333333333,1.6666666666666667
2016-03-31,26.0,297.4,947.1,24.6,5.8999999999999995,1.6666666666666667
2016-04-30,3.0,48.26666666666667,948.3666666666668,24.133333333333336,6.933333333333334,1.8666666666666665
2016-05-31,4.0,19.200000000000003,948.0,25.566666666666666,6.266666666666666,1.8
2016-06-30,7.0,15.4,950.0,23.2,6.0,1.8
2016-07-31,0.0,0.0,948.8,25.2,5.3,1.7
2016-08-31,4.0,14.6,947.8,25.7,7.1,1.8
2016-09-30,8.0,64.2,948.0,24.5,6.1,1.9
2016-10-31,1.0,2.9333333333333336,948.5666666666667,24.166666666666668,5.633333333333333,1.8666666666666665
2016-11-30,13.726190476190476,163.99230769230772,946.5447674418606,24.534756097560976,5.851094890510949,1.7471999999999999
2016-12-31,15.0,143.53333333333333,945.7000000000002,23.4,5.8,1.8
2017-01-31,27.0,265.4,945.9,23.7,5.4,1.6
2017-02-28,25.0,245.4,945.6,23.5,6.1,1.8
2017-03-31,27.0,467.2,945.9,24.2,5.1,1.6
2017-04-30,18.0,199.2,946.7,24.1,5.0,1.6
2017-05-31,10.0,123.2,947.2,24.9,5.5,1.6
2017-06-30,3.0,2.8,948.5,23.7,6.3,1.9
2017-07-31,0.0,0.0,950.5,24.0,6.3,2.2
2017-08-31,3.0,45.4,947.2,26.2,9.8,1.8
2017-09-30,9.0,24.6,947.0,26.4,6.9,1.7
2017-10-31,13.0,158.0,945.4,24.9,6.8,1.8
2017-11-30,26.0,322.0,944.2,24.3,7.5,1.6
2017-12-31,27.0,288.8,944.5,23.9,4.6,1.7
2018-01-31,28.0,353.0,945.4,23.7,4.9,1.5
2018-02-28,25.0,186.4,945.0,23.6,4.8,1.6
2018-03-31,25.0,230.4,945.6,24.0,4.9,1.5
2018-04-30,25.0,280.6,946.9,24.1,4.9,1.6
2018-05-31,9.0,94.0,948.1,24.0,5.3,1.9
2018-06-30,3.0,49.4,949.7,22.0,4.7,1.9
2018-07-31,1.0,0.8,949.1,23.8,5.4,1.8
2018-08-31,5.0,88.4,948.9,23.9,6.3,1.8
2018-09-30,9.0,129.6,946.1,25.1,9.1,1.8
2018-10-31,22.0,272.2,945.3,25.2,5.2,1.6
2018-11-30,21.0,266.0,944.5,24.5,4.5,1.6
2018-12-31,26.0,315.6,946.2,23.8,5.3,1.6
2019-01-31,29.0,330.2,947.0,23.8,5.0,1.7
2019-02-28,26.0,358.8,946.3,23.9,4.6,1.6
2019-03-31,24.0,348.6,946.6,24.3,7.1,1.7
2019-04-30,20.0,205.2,946.5,24.4,5.0,1.5
2019-05-31,11.0,28.8,947.3,24.4,4.3,1.7
2019-06-30,1.0,0.2,948.9,25.0,5.8,2.0
2019-07-31,14.333333333333334,106.73333333333333,947.2666666666665,24.066666666666666,5.8,1.9000000000000001
2019-08-31,8.333333333333334,22.53333333333333,945.9333333333334,23.400000000000002,6.3,1.8666666666666665
2019-09-30,13.726190476190476,163.99230769230772,946.5447674418606,24.534756097560976,5.851094890510949,1.7471999999999999
2019-10-31,21.333333333333332,243.79999999999995,945.7666666666668,23.766666666666666,3.6,1.6333333333333335
2019-11-30,12.0,42.0,946.6999999999999,24.8,6.0,1.8
2019-12-31,28.0,387.0,945.2,24.2,5.2,1.5
2020-01-31,27.0,303.4,945.6,24.6,5.8,1.7
2020-02-29,25.0,466.6,946.1,24.2,4.5,1.5
2020-03-31,25.0,251.4,945.8,24.6,5.9,1.4
2020-04-30,15.0,156.2,947.4,25.0,4.9,1.8
2020-05-31,6.0,73.2,948.7,23.4,6.0,1.9
2020-06-30,5.0,17.4,948.2,24.4,5.6,1.8
2020-07-31,1.0,0.2,947.9,25.2,5.2,1.9
2020-08-31,2.0,3.2,947.4,25.9,5.9,1.9
2020-09-30,4.0,10.8,946.2,27.5,6.4,1.6
2020-10-31,3.0,32.2,945.6,25.6,5.733333333333334,1.7666666666666666
2020-11-30,16.333333333333332,162.8,945.0,26.2,5.900000000000001,1.6666666666666667
2020-12-31,23.0,84.2,945.0,24.3,5.966666666666666,1.6333333333333335
2021-01-31,17.0,92.2,945.2,24.0,5.766666666666667,1.7
2021-02-28,20.0,380.26666666666665,944.9,23.9,5.733333333333333,1.6333333333333335
2021-03-31,11.0,119.6,945.8,23.6,6.066666666666667,1.7
2021-04-30,25.0,125.2,946.5,24.0,6.066666666666666,1.6333333333333335
2021-05-31,6.0,2.8,948.1,24.1,6.066666666666666,1.8666666666666665
2021-06-30,6.0,2.8,948.8,23.3,6.1000000000000005,1.8999999999999997
2021-07-31,0.0,0.0,949.7,23.9,5.733333333333334,2.0
2021-08-31,0.0,0.0,947.8,26.6,5.433333333333334,1.9000000000000001
2021-09-30,4.0,32.2,946.8,26.4,5.733333333333334,1.7666666666666666
