Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-04-30,99.51428571428572,1011.4285714285714,22.95,6.0625,1.7
2025-05-31,99.51428571428572,1011.4285714285714,22.95,6.0625,1.7
2025-06-30,99.51428571428572,1011.4285714285714,22.95,6.0625,1.7
2025-07-31,99.51428571428572,1011.4285714285714,22.95,6.0625,1.7
2025-08-31,99.51428571428572,1011.4285714285714,22.95,6.0625,1.7
2025-09-30,91.3,1013.6666666666666,18.2,7.9,1.7333333333333334
2025-10-31,138.4,1016.3,20.5,5.4,1.8
2025-11-30,82.0,1012.1,21.9,6.0,1.9
2025-12-31,175.4,1007.5,25.2,7.5,1.7
2026-01-31,61.2,1011.1,25.3,6.6,1.7
2026-02-28,102.0,1009.9,25.4,4.9,1.7
2026-03-31,84.1,1010.5,25.2,4.6,1.6
2026-04-30,53.5,1012.6,21.9,5.6,1.5
