Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,26.0,212.4,944.7,22.3,5.5,1.3
2010-02-28,16.0,193.4,945.5,23.1,6.2,1.2
2010-03-31,22.0,199.8,945.5,20.8,8.2,1.0
2010-04-30,19.0,222.8,949.2,17.9,4.4,0.8
2010-05-31,26.0,198.6,948.5,15.1,4.8,1.0
2010-06-30,20.0,93.6,951.6,13.5,6.1,1.1
2010-07-31,25.0,119.4,951.9,13.1,6.2,0.9
2010-08-31,17.0,84.2,951.7,13.5,6.2,1.1
2010-09-30,15.0,47.6,948.6,16.4,6.2,1.4
2010-10-31,16.0,182.8,946.6,16.6,7.1,1.1
2010-11-30,14.0,150.4,943.8,19.3,7.5,1.0
2010-12-31,14.0,198.6,942.7,20.4,5.1,0.9
2011-01-31,20.333333333333332,238.20000000000002,946.6999999999999,22.2,6.6,0.8333333333333334
2011-02-28,10.333333333333334,21.86666666666667,952.1666666666666,15.300000000000002,4.7,0.3333333333333333
2011-03-31,11.666666666666666,89.86666666666667,947.4333333333334,19.76666666666667,3.9,0.5666666666666668
2011-04-30,19.666666666666668,338.73333333333335,948.3000000000001,16.133333333333336,5.0,0.7333333333333334
2011-05-31,18.0,121.0,950.1,14.4,4.8,0.9
2011-06-30,25.0,134.4,949.1,11.5,6.4,1.2
2011-07-31,27.0,380.4,949.7,12.7,6.3,0.8
2011-08-31,21.0,429.8,949.2,13.6,7.7,1.5
2011-09-30,4.0,62.86666666666667,951.5,12.666666666666666,5.2,0.8333333333333334
2011-10-31,16.71875,180.06766917293234,948.0071428571429,17.88961038961039,5.683522727272727,0.851948051948052
2011-11-30,4.0,62.86666666666667,951.5,12.666666666666666,5.2,0.8333333333333334
2011-12-31,15.0,142.2,944.0,20.1,6.5,1.3
2012-01-31,24.0,554.6,944.8,21.0,6.0,1.3
2012-02-29,18.0,335.8,945.4,22.7,7.3,1.1
2012-03-31,13.0,27.2,947.1,20.5,4.8,1.1
2012-04-30,18.0,210.0,947.0,18.2,5.9,1.1
2012-05-31,22.0,118.0,950.8,15.0,5.2,0.8
2012-06-30,22.0,212.8,949.8,13.2,4.5,0.9
2012-07-31,24.0,293.8,950.0,12.2,5.3,1.0
2012-08-31,15.0,34.6,953.4,16.3,4.9,1.0
2012-09-30,21.0,78.8,949.9,16.3,6.0,1.4
2012-10-31,24.0,267.0,946.5,18.5,7.4,1.3
2012-11-30,15.0,145.0,945.4,20.4,4.8,1.3
2012-12-31,23.0,391.8,943.4,22.7,7.9,1.1
2013-01-31,17.0,268.2,946.1,21.0,5.0,1.0
2013-02-28,14.0,271.5333333333333,945.2,21.7,6.1,0.8
2013-03-31,19.0,238.2,946.8,19.8,4.8,0.6
2013-04-30,22.0,120.8,948.6,17.1,5.6,0.5
2013-05-31,29.0,57.4,948.7,14.9,7.2,0.6
2013-06-30,26.0,380.0,949.2,13.7,5.0,0.6
2013-07-31,24.0,191.2,951.6,12.0,6.3,0.7
2013-08-31,22.0,321.6,950.2,13.1,6.3,0.9
2013-09-30,20.0,446.2,949.2,15.4,6.6,1.0
2013-10-31,19.0,185.0,947.9,17.7,5.3,1.0
2013-11-30,19.0,71.2,946.2,19.8,5.7,1.1
2013-12-31,15.0,226.8,943.6,22.0,4.9,0.9
2014-01-31,18.0,458.8,946.1,22.7,5.5,0.8
2014-02-28,16.0,169.6,946.4,22.7,8.0,0.9
2014-03-31,20.0,200.0,946.8,20.6,5.4,0.7
2014-04-30,16.0,107.2,949.0,18.6,4.5,0.6
2014-05-31,23.0,141.6,949.0,15.3,4.4,0.5
2014-06-30,16.0,68.60000000000001,950.1,14.1,6.4,0.6
2014-07-31,19.0,62.8,952.7,13.2,5.7,0.5
2014-08-31,22.0,164.4,951.1,14.0,5.4,0.6
2014-09-30,16.0,104.66666666666667,948.4,17.2,5.2,0.9
2014-10-31,16.0,55.2,948.7,19.3,10.4,0.8
2014-11-30,14.0,236.6,945.9,20.4,6.1,0.8
2014-12-31,17.0,229.8,945.2,21.6,5.2,0.8
2015-01-31,26.0,321.6,946.6,22.3,6.7,0.7
2015-02-28,24.0,363.6,945.7,21.7,5.1,0.6
2015-03-31,15.0,160.8,946.8,21.1,3.9,0.5
2015-04-30,15.0,76.2,948.5,18.5,4.1,0.5
2015-05-31,17.0,101.6,950.4,15.9,6.2,0.5
2015-06-30,24.0,104.6,952.4,13.2,4.2,0.4
2015-07-31,18.0,89.8,950.2,13.9,5.5,0.6
2015-08-31,11.0,13.8,950.2,17.3,4.7,0.6
2015-09-30,21.0,201.6,946.4,17.3,5.5,0.8
2015-10-31,27.0,568.8,947.6,18.0,5.6,0.7
2015-11-30,24.0,459.2,945.0,19.2,4.8,0.7
2015-12-31,26.0,262.8,945.0,22.1,7.0,0.8
