Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,8.0,15.6,989.1,26.7,7.1,3.1
2010-02-28,15.0,127.6,988.9,26.1,5.9,2.7
2010-03-31,14.0,100.6,988.3,26.6,7.3,2.7
2010-04-30,18.0,181.2,989.0,25.2,6.4,2.5
2010-05-31,17.0,130.8,989.9,24.8,6.6,2.3
2010-06-30,27.0,210.8,993.0,22.8,7.6,2.8
2010-07-31,29.0,242.4,993.5,22.2,6.3,2.7
2010-08-31,25.0,100.8,994.2,21.8,6.9,2.7
2010-09-30,22.0,78.4,992.7,22.5,6.6,3.0
2010-10-31,8.0,44.4,989.7,24.9,9.5,3.2
2010-11-30,4.0,2.8,988.1,25.5,6.9,3.5
2010-12-31,4.0,6.4,986.5,26.2,6.6,3.4
2011-01-31,7.0,73.4,987.5,25.8,7.6,3.0
2011-02-28,11.0,78.0,988.2,25.7,6.4,2.9
2011-03-31,13.666666666666666,86.48391608391609,990.7807947019867,24.712195121951222,6.4125000000000005,2.656291390728477
2011-04-30,16.0,81.60000000000001,992.6,24.2,5.8,2.766666666666667
2011-05-31,22.0,158.0,990.3,23.6,6.4,2.4
2011-06-30,20.0,76.8,992.1,22.8,5.7,2.3
2011-07-31,23.0,106.2,993.0,21.8,6.8,2.6
2011-08-31,23.0,83.4,993.4,22.4,6.8,2.5
2011-09-30,18.0,33.8,994.1,22.3,6.8,2.9
2011-10-31,12.0,114.2,989.3,24.3,8.3,3.4
2011-11-30,15.0,78.4,989.3,24.3,7.8,3.3
2011-12-31,9.0,15.2,988.7,25.6,6.9,3.4
2012-01-31,16.0,34.0,989.3,25.7,7.1,3.4
2012-02-29,17.0,113.8,989.1,25.4,7.6,3.1
2012-03-31,6.0,40.0,989.6,25.5,6.2,2.9
2012-04-30,12.0,14.6,989.6,25.3,6.0,2.7
2012-05-31,16.0,108.0,991.4,24.2,6.1,2.6
2012-06-30,23.0,68.8,993.0,23.1,5.7,2.4
2012-07-31,24.0,103.0,993.6,22.1,6.2,2.5
2012-08-31,24.0,119.6,995.1,21.7,6.4,2.7
2012-09-30,16.0,55.8,994.1,22.9,6.6,2.8
2012-10-31,15.0,46.6,991.3,23.6,6.8,2.9
2012-11-30,3.0,5.6,988.3,25.7,6.6,3.7
2012-12-31,2.0,8.6,988.5,26.1,6.8,3.2
2013-01-31,11.0,67.6,989.1,26.5,7.0,3.3
2013-02-28,8.0,21.2,989.1,26.6,6.7,3.0
2013-03-31,6.0,12.8,989.1,27.1,6.5,2.9
2013-04-30,12.0,135.6,989.7,25.8,7.2,2.8
2013-05-31,24.0,232.8,991.0,24.1,5.9,2.3
2013-06-30,22.0,163.8,992.1,23.4,5.3,2.0
2013-07-31,26.0,290.4,993.6,22.4,5.2,2.1
2013-08-31,27.0,138.2,993.2,22.3,6.5,2.3
2013-09-30,18.0,61.2,992.8,23.3,6.8,2.5
2013-10-31,12.0,200.8,991.4,23.9,6.7,3.0
2013-11-30,12.0,74.2,989.1,24.5,6.9,3.0
2013-12-31,9.0,116.8,988.3,25.5,6.9,3.5
2014-01-31,11.0,23.4,990.0,25.7,5.9,2.7
2014-02-28,5.0,40.6,989.2333333333335,25.900000000000002,5.1,2.733333333333333
2014-03-31,13.0,43.6,989.6,25.7,6.0,2.4
2014-04-30,16.0,168.0,989.6,25.6,7.1,2.2
2014-05-31,22.0,102.6,990.7,24.1,6.6,2.3
2014-06-30,27.0,153.8,992.7,22.9,5.4,2.2
2014-07-31,21.0,89.26666666666665,995.0,22.2,5.7,2.2
2014-08-31,14.0,51.333333333333336,992.1333333333332,22.3,5.9,2.766666666666667
2014-09-30,17.0,42.0,993.1,23.0,7.2,2.8
2014-10-31,15.0,75.4,992.1,23.8,6.4,2.9
2014-11-30,13.0,86.4,989.5,24.6,6.6,3.1
2014-12-31,11.0,29.2,990.0,25.2,6.3,3.0
2015-01-31,4.0,10.6,990.8,25.9,7.1,2.7
2015-02-28,9.0,63.2,989.7,26.2,6.6,2.7
2015-03-31,13.0,30.8,989.4,26.2,6.1,2.4
2015-04-30,16.0,96.6,989.3,26.1,5.8,2.3
2015-05-31,22.0,318.2,991.3,24.6,6.0,2.3
2015-06-30,29.0,150.4,993.5,23.2,5.5,2.2
2015-07-31,29.0,100.6,994.1,22.6,6.3,2.2
2015-08-31,22.0,110.6,994.1,22.0,6.0,2.3
2015-09-30,13.0,32.0,992.4,23.8,6.7,2.6
2015-10-31,10.0,39.2,991.8,24.6,6.2,2.7
2015-11-30,4.0,7.8,988.9,26.1,7.1,3.5
2015-12-31,11.0,27.8,990.7,26.1,7.3,3.0
