Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2010-01-31,9.670212765957446,96.30057142857144,943.2775956284153,21.994054054054054,5.069791666666667,1.4181318681318682
2010-02-28,13.0,154.6,941.8,24.4,5.1,1.6
2010-03-31,15.0,54.4,941.0,23.6,4.1,1.7
2010-04-30,7.0,83.0,944.2,21.2,4.6,1.7
2010-05-31,6.0,30.6,944.2,18.2,4.8,1.7
2010-06-30,2.0,25.6,947.2,17.4,4.7,1.7
2010-07-31,3.0,73.4,946.8,19.2,4.5,1.8
2010-08-31,1.6666666666666667,0.0,946.6,19.3,7.1,1.9
2010-09-30,5.0,72.2,943.9,21.6,6.2,2.2
2010-10-31,8.0,79.93333333333334,942.6666666666666,21.9,7.4,1.3333333333333333
2010-11-30,9.0,55.6,939.1,23.0,4.9,1.8
2010-12-31,20.0,229.4,938.0,23.6,5.5,1.7
2011-01-31,22.0,440.2,938.9,24.0,6.4,1.5
2011-02-28,18.0,148.6,940.8,24.1,4.2,1.3
2011-03-31,17.0,146.2,940.8,22.2,4.8,1.7
2011-04-30,9.0,83.2,943.1,21.8,5.4,1.4
2011-05-31,3.0,27.0,945.1,18.1,4.2,1.4
2011-06-30,5.0,40.0,945.2,16.5,6.5,1.5
2011-07-31,6.0,8.2,945.4,19.1,4.0,1.6
2011-08-31,6.0,33.4,944.6,20.2,5.4,1.8
2011-09-30,4.0,5.6,945.2,21.1,6.1,2.0
2011-10-31,14.0,179.8,941.2,21.9,6.7,1.9
2011-11-30,11.0,114.6,940.9,21.8,4.1,1.5
2011-12-31,15.0,178.6,939.5,23.5,6.2,1.3
2012-01-31,22.0,236.4,940.8,22.1,5.2,1.4
2012-02-29,11.0,72.2,941.4,24.5,5.4,1.1
2012-03-31,7.0,142.8,942.4,23.3,5.5,1.2
2012-04-30,9.0,163.2,942.3,22.1,5.4,1.2
2012-05-31,8.0,79.2,945.6,18.5,4.4,1.3
2012-06-30,18.0,195.6,945.5,18.0,4.0,1.3
2012-07-31,4.0,10.6,946.0,18.1,5.4,1.5
2012-08-31,1.6666666666666667,0.0,948.3,20.2,5.1,1.7
2012-09-30,5.0,85.2,944.9,22.0,5.6,1.9
2012-10-31,10.0,41.8,941.4,24.2,5.1,1.7
2012-11-30,8.0,129.6,939.8,23.2,4.9,1.6
2012-12-31,14.0,114.8,940.1,25.1,5.1,1.3
2013-01-31,17.0,252.8,941.0,22.9,5.2,1.5
2013-02-28,20.0,149.8,941.6,23.5,4.4,1.2
2013-03-31,16.0,193.4,942.1,22.8,5.4,1.3
2013-04-30,7.0,98.0,943.8,20.9,3.8,1.2
2013-05-31,8.0,145.8,944.5,19.4,4.0,1.2
2013-06-30,19.0,70.2,945.3,18.3,3.4,1.1
2013-07-31,2.0,16.066666666666666,947.4333333333334,20.46666666666667,5.166666666666667,1.5333333333333332
2013-08-31,9.670212765957446,96.30057142857144,943.2775956284153,21.994054054054054,5.069791666666667,1.4181318681318682
2013-09-30,5.0,13.333333333333334,945.2333333333332,20.866666666666664,3.9,1.3
2013-10-31,12.0,139.4,942.8,21.9,4.8,1.7
2013-11-30,11.0,168.8,940.8,22.9,5.8,1.7
2013-12-31,10.0,49.2,938.9,24.5,3.9,1.4
2014-01-31,16.0,95.0,942.5,25.1,4.6,1.2
2014-02-28,13.0,125.2,941.7,25.1,4.2,1.2
2014-03-31,14.0,123.8,942.4,23.4,5.7,1.3
2014-04-30,9.0,72.4,943.6,22.0,4.5,1.2
2014-05-31,5.0,59.4,944.6,19.3,5.9,1.2
2014-06-30,3.0,2.8,945.8,19.2,4.0,1.0
2014-07-31,8.0,24.8,948.1,17.9,6.1,1.2
2014-08-31,3.0,18.4,946.3,20.7,4.9,1.3
2014-09-30,9.0,109.4,943.7,22.0,5.5,1.5
