codigo_estacao,nome_estacao,estado_uf,latitude,longitude,altitude,data_inicio_operacao,situacao_status,tipo_estacao,entidade_responsavel,eh_capital,codigo_distrito,codigo_oscar,codigo_wsi
A422,ABROLHOS,BA,-17.96305555,-38.70333333,20.93,2008-07-20T21:00:00.000-03:00,Pane,Automatica,INMET,N,04,0-2000-0-86765,0-76-0-2906907000000408
A472,ACAJUTIBA,BA,-11.65444444,-38.01583333,182,2026-05-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,04,,
A360,ACARAU,CE,-3.1211111,-40.08722221,67.15,2009-04-21T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81755,0-76-0-2300200000000446
B828,ACEGUA,RS,-31.87472221,-54.11972221,271,2025-09-16T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4300034000000625
A657,AFONSO CLAUDIO,ES,-20.10416666,-41.10694444,507.48,2011-09-23T21:00:00.000-03:00,Operante,Automatica,INMET,,06,0-2000-0-86827,0-76-0-3200102000000478
A908,AGUA BOA,MT,-14.01638888,-52.21166666,440,2006-12-15T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-86686,0-76-0-5100201000000157
A756,AGUA CLARA,MS,-20.44444444,-52.87583332,323.63,2010-08-13T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86812,0-76-0-5000203000000463
S733,AGUA CLARA (FAZ. PELEJA),MS,-19.774306,-53.273982,527,2025-08-19T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84862,0-76-0-5000203000000026
A045,AGUAS EMENDADAS,DF,-15.59638888,-47.62583332,1030.36,2008-10-02T21:00:00.000-03:00,Operante,Automatica,INMET,,10,0-2000-0-86716,0-76-0-5300108000000435
A549,AGUAS VERMELHAS,MG,-15.75166666,-41.45777777,754.07,2007-09-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86722,0-76-0-3101003000000252
A534,AIMORES,MG,-19.53277777,-41.09083333,301,2007-08-04T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86803,0-76-0-3101102000000239
B843,AJURICABA,RS,-28.22083332,-53.6736111,416,2025-12-01T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4300208000000644
S731,ALCINOPOLIS (FAZ. VALE DO CEDRO),MS,-18.052175,-53.845593,384,2025-08-13T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84860,0-76-0-5000252000000024
A617,ALEGRE,ES,-20.75055555,-41.48888888,138,2006-10-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86828,0-76-0-3200201000000125
A826,ALEGRETE,RS,-29.70916666,-55.52555554,121,2006-09-27T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86975,0-76-0-4300406000000113
B847,ALEGRETE (MARONNA),RS,-29.82138888,-55.88722221,120,2026-02-03T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,,0-76-0-4300406000000660
A053,ALMAS,TO,-11.28416666,-47.21222222,503,2016-03-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86627,0-76-0-1700400000000508
A508,ALMENARA,MG,-16.16666666,-40.68777777,189.11,2002-12-14T22:00:00.000-02:00,Operante,Automatica,INMET,N,05,0-2000-0-86743,0-76-0-3101706000000034
A924,ALTA FLORESTA,MT,-10.07722221,-56.17916666,291.85,2007-05-22T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-81977,0-76-0-5100250000000192
A253,ALTAMIRA,PA,-3.26999999,-52.39472221,191,2018-10-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,02,0-2000-0-81738,0-76-0-1500602000000585
A909,ALTO ARAGUAIA,MT,-17.33944444,-53.22444443,753.28,2011-09-21T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,0-2000-0-86749,0-76-0-5100300000000477
A024,ALTO PARAISO DE GOIAS,GO,-14.13305554,-47.52333332,1264.7,2007-06-03T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86691,0-76-0-5200605000000208
A223,ALTO PARNAIBA,MA,-9.10833333,-45.93194443,283.69,2008-06-02T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81985,0-76-0-2100501000000375
A934,ALTO TAQUARI,MT,-17.8411111,-53.28944444,862.42,2008-01-28T21:00:00.000-03:00,Operante,Automatica,INMET,,09,0-2000-0-86750,0-76-0-5100607000000284
A336,ALVORADA DO GURGUEIA,PI,-8.37638888,-43.85944444,225,2007-11-16T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81846,0-76-0-2202307000000274
A750,AMAMBAI,MS,-23.0025,-55.32944443,433.59,2008-06-10T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86894,0-76-0-5000609000000381
A772,AMAMBAI - NOVO HORIZONTE,MS,-23.1211111,-54.86555555,,2026-02-17T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,,0-76-0-5000609000000666
A434,AMARGOSA,BA,-13.00944444,-39.61694443,397.8,2008-07-10T21:00:00.000-03:00,Operante,Automatica,INMET,,04,0-2000-0-86675,0-76-0-2901007000000398
S736,ANAURILANDIA (FAZ. SANTO ANDRE),MS,-22.046806,-52.897545,428,2025-08-29T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84865,0-76-0-5000807000000029
S701,ANGELICA,MS,-22.14805555,-53.76361111,347,2018-04-08T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84830,0-76-0-5000856000000013
A377,ANGICAL DO PIAUI,PI,-6.08944444,-42.72749999,183,2019-11-13T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81867,0-76-0-2200608000000597
A628,ANGRA DOS REIS,RJ,-22.97555554,-44.30333333,6,2017-08-24T21:00:00.000-03:00,Pane,Automatica,INMET,N,06,0-2000-0-84817,0-76-0-3300100000000555
A910,APIACAS,MT,-9.56333333,-57.3936111,217.75,2006-10-23T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-81976,0-76-0-5100805000000123
A340,APODI,RN,-5.62666666,-37.815,131.41,2007-11-13T21:00:00.000-03:00,Pane,Automatica,INMET,,03,0-2000-0-81835,0-76-0-2401008000000272
A113,APUI,AM,-7.20555555,-59.8886111,156.97,2008-07-18T21:00:00.000-03:00,Pane,Automatica,INMET,,01,0-2000-0-81893,0-76-0-1300144000000406
A719,AQUIDAUANA,MS,-20.47555554,-55.78388888,151.35,2006-10-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86808,0-76-0-5001102000000132
S729,AQUIDAUANA (FAZ. BARRANCO ALTO),MS,-19.573766,-56.155409,101,2025-08-05T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84858,0-76-0-5001102000000022
A409,ARACAJU,SE,-10.9525,-37.05444444,3.72,2003-02-11T22:00:00.000-02:00,Pane,Automatica,INMET,N,04,0-2000-0-86616,0-76-0-2800308000000055
A566,ARACUAI,MG,-16.84888888,-42.03527777,308,2017-05-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86746,0-76-0-3103405000000548
A013,ARAGARCAS,GO,-15.90277777,-52.24527777,327.35,2007-07-12T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86709,0-76-0-5201702000000229
A054,ARAGUACU,TO,-12.59222221,-49.5286111,231,2015-08-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86648,0-76-0-1702000000000502
A021,ARAGUAINA,TO,-7.10388888,-48.20111111,230.76,2007-01-25T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-81900,0-76-0-1702109000000172
A044,ARAGUATINS,TO,-5.6436111,-48.11194444,130.71,2009-03-11T21:00:00.000-03:00,Operante,Automatica,INMET,,10,0-2000-0-81821,0-76-0-1702208000000443
S702,ARAL MOREIRA,MS,-22.955,-55.6261111,605,2018-04-12T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84831,0-76-0-5001243000000016
A353,ARAPIRACA,AL,-9.80444444,-36.61916666,236.84,2008-04-26T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81996,0-76-0-2700300000000353
A867,ARARANGUA,SC,-28.931353,-49.49792,2,2008-09-27T21:00:00.000-03:00,Operante,Automatica,INMET,,08,0-2000-0-86971,0-76-0-4201406000000433
A505,ARAXA,MG,-19.60583333,-46.94972221,1018.32,2002-12-18T22:00:00.000-02:00,Operante,Automatica,INMET,N,05,0-2000-0-86796,0-76-0-3104007000000037
A309,ARCO VERDE,PE,-8.4336111,-37.05555555,683.95,2004-11-19T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81953,0-76-0-2601201000000068
A310,AREIA,PB,-6.97555554,-35.71805554,573.45,2004-11-15T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81877,0-76-0-2501104000000066
A964,ARIPUANA,MT,-10.18249999,-59.45972222,230,2026-02-22T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,,0-76-0-5101407000000667
A940,ARIQUEMES,RO,-9.94888888,-62.96194444,128.44,2008-07-17T21:00:00.000-03:00,Pane,Automatica,INMET,,09,0-2000-0-81970,0-76-0-1100023000000405
A736,ARIRANHA,SP,-21.13305554,-48.84055555,525.44,2007-11-12T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86841,0-76-0-3503703000000271
A606,ARRAIAL DO CABO,RJ,-22.97527777,-42.02138888,5,2006-09-21T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86892,0-76-0-3300258000000108
A120,AUTAZES,AM,-3.58333333,-59.12944443,19.9,2008-04-16T21:00:00.000-03:00,Pane,Automatica,INMET,,01,0-2000-0-81732,0-76-0-1300300000000339
A725,AVARE,SP,-23.10166666,-48.9411111,776.36,2006-09-21T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86904,0-76-0-3504503000000107
A220,BACABAL,MA,-4.24305555,-44.79499999,22.33,2008-07-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,02,0-2000-0-81790,0-76-0-2101202000000394
A827,BAGE,RS,-31.34777777,-54.01333333,226.19,2007-01-03T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86992,0-76-0-4301602000000166
B827,BAGE - CENTRO,RS,-31.30555555,-54.01333333,226.2,2025-07-31T21:00:00.000-03:00,Operante,Automatica,INMET,,08,,0-76-0-4301602000000610
A375,BAIXA GRANDE DO RIBEIRO,PI,-8.333531,-45.094625,519,2018-03-22T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81947,0-76-0-2201150000000578
A204,BALSAS,MA,-7.45555555,-46.02749999,271.03,2007-10-25T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81903,0-76-0-2101400000000260
A565,BAMBUI,MG,-20.0311111,-46.00888888,697,2016-11-22T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86806,0-76-0-3105103000000534
S703,BANDEIRANTES,MS,-19.94555555,-54.3686111,624,2018-01-28T21:00:00.000-03:00,Operante,Automatica,SEMADESC-MS,N,38,0-2000-0-84832,0-76-0-5001508000000002
A502,BARBACENA,MG,-21.22833332,-43.76777777,1168.76,2002-12-04T22:00:00.000-02:00,Operante,Automatica,INMET,N,05,0-2000-0-86850,0-76-0-3105608000000026
A315,BARBALHA,CE,-7.30083333,-39.2711111,409.41,2007-05-30T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81911,0-76-0-2301901000000202
A128,BARCELOS,AM,-0.98722221,-62.92416666,29.88,2008-04-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,01,0-2000-0-81648,0-76-0-1300409000000344
A429,BARRA,BA,-11.08472221,-43.13888888,407.5,2008-05-11T21:00:00.000-03:00,Operante,Automatica,INMET,N,04,0-2000-0-86634,0-76-0-2902708000000362
A741,BARRA BONITA,SP,-22.4711111,-48.5575,533.68,2008-04-23T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86867,0-76-0-3505302000000348
A967,BARRA DO BUGRES,MT,-15.07583332,-57.19472221,186,2026-02-02T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,,0-76-0-5101704000000659
A221,BARRA DO CORDA,MA,-5.50666666,-45.23694444,154.19,2008-03-05T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81825,0-76-0-2101608000000304
A945,BARRA DO GARCAS,MT,-15.88472221,-52.22722221,304,2025-11-25T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,,0-76-0-5101803000000639
B848,BARRA DO QUARAI,RS,-30.11166666,-57.3361111,91,2026-01-26T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,,0-76-0-4301875000000656
A746,BARRA DO TURVO,SP,-24.96277777,-48.41638888,659.89,2008-07-02T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86922,0-76-0-3505401000000393
A402,BARREIRAS,BA,-12.12472221,-45.02694443,474.17,2001-12-19T22:00:00.000-02:00,Operante,Automatica,INMET,N,04,0-2000-0-86652,0-76-0-2903201000000018
A748,BARRETOS,SP,-20.55916666,-48.54499999,534.36,2010-06-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86816,0-76-0-3505500000000460
A755,BARUERI,SP,-23.52388888,-46.86944443,776.5,2011-03-28T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86908,0-76-0-3510609000000470
A759,BATAGUASSU,MS,-21.75,-52.47138888,392.13,2013-03-20T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86837,0-76-0-5001904000000492
A705,BAURU,SP,-22.35805555,-49.02888888,636.17,2001-08-29T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86865,0-76-0-3506003000000010
A764,BEBEDOURO,SP,-20.94805555,-48.47138888,542,2016-10-26T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-84806,0-76-0-3506102000000528
A201,BELEM,PA,-1.41111111,-48.43944444,21.17,2003-01-19T22:00:00.000-02:00,Operante,Automatica,INMET,N,02,0-2000-0-81680,0-76-0-1501402000000042
A447,BELMONTE,BA,-16.08805555,-39.21527777,89.67,2009-07-01T21:00:00.000-03:00,Pane,Automatica,INMET,N,04,0-2000-0-86744,0-76-0-2903409000000453
F501,BELO HORIZONTE - CERCADINHO,MG,-19.97999999,-43.95861111,1199.55,2013-12-26T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86799,0-76-0-3106200000000597
A521,BELO HORIZONTE - PAMPULHA,MG,-19.88388888,-43.96944443,854.02,2006-10-09T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86800,0-76-0-3106200000000116
