uf,ano,mes,precip_total_mm,dias_precip,temp_media_c,pressao_media_mb,vento_max_ms,vento_media_ms,n_estacoes,anomalia_precip
AC,2010,1,272.8,26.0,25.5,987.6500000000001,7.0,1.6,2,0.9948572972673372
AC,2010,2,207.0,19.5,25.95,987.809090909091,6.2,1.4,2,0.3796236073754743
AC,2010,3,188.8,25.0,25.85,988.2545454545455,7.55,1.25,2,0.20945258676708683
AC,2010,4,102.6,14.5,26.049999999999997,989.125,5.95,1.2999999999999998,2,-0.5965222471034083
AC,2010,5,36.6,15.0,24.450000000000003,990.209090909091,8.9,1.2999999999999998,2,-1.2136259482107479
AC,2010,6,33.6,10.5,24.95,991.2249999999999,5.55,1.15,2,-1.2416761164428998
AC,2010,7,20.8,9.0,23.45,991.54,6.9,1.55,2,-1.361356834233414
AC,2010,8,10.0,5.0,25.4,990.6777777777778,6.75,1.4500000000000002,2,-1.4623374398691604
AC,2010,9,55.9,8.0,26.85,988.66875,8.25,1.7,2,-1.033169865917238
AC,2010,10,109.9,12.0,26.35,987.9850000000001,7.7,1.7,2,-0.5282668377385055
AC,2010,11,161.8,20.5,25.450000000000003,986.7409090909091,8.15,1.55,2,-0.04299892732227935
AC,2010,12,169.2,18.5,25.299999999999997,986.8409090909091,8.3,1.65,2,0.026191487650361542
AC,2011,1,178.5,25.0,25.0,987.4166666666667,5.75,1.55,2,0.11314700917003222
AC,2011,2,166.4,24.5,24.65,988.0090909090909,6.35,1.4,2,1.133063368669001e-05
AC,2011,3,113.8,25.5,24.75,988.0045454545455,5.8,1.2000000000000002,2,-0.49180161903670827
AC,2011,4,225.5181818181818,22.545454545454547,25.1,988.825,6.4,1.15,2,0.5527696458266657
AC,2011,5,74.17272727272727,13.772727272727273,24.45,989.65,6.5,1.2999999999999998,2,-0.8623188412304952
AC,2011,6,46.9,11.863636363636363,24.700000000000003,990.3,6.15,1.2000000000000002,2,-1.1173203706136934
AC,2011,7,25.99,6.45,24.7,990.1,6.6,1.45,2,-1.3128300431917912
AC,2011,8,42.675,5.95,25.05,990.3499999999999,9.95,1.45,2,-1.1568243575406405
AC,2011,9,136.60000000000002,9.8,26.15,990.0,7.449999999999999,1.2,2,-0.27862034047235434
AC,2011,10,165.24,16.636363636363637,25.45,986.9,7.2,1.15,2,-0.01083473441607864
AC,2011,11,213.74545454545455,17.25,26.0,986.6,7.550000000000001,1.2,2,0.4426939856429187
AC,2011,12,291.79999999999995,21.5,25.2,987.2,8.2,1.1,2,1.1725083627376314
AC,2012,1,399.3636363636364,24.892857142857142,24.55,987.9,6.45,1.05,2,2.1782343946249654
AC,2012,2,394.43333333333334,23.923076923076923,24.5,987.75,6.050000000000001,0.8999999999999999,2,2.132135784813136
AC,2012,3,244.15833333333333,22.53846153846154,24.9,989.0,5.9,0.85,2,0.7270561077842655
AC,2012,4,90.0,20.5,25.25,988.7,6.6,0.85,2,-0.7143329536784458
AC,2012,5,52.599999999999994,13.5,24.8,990.0,5.6,0.7000000000000001,2,-1.064025050972605
AC,2012,6,75.1,16.5,24.15,991.3,6.9,0.75,2,-0.8536487892314665
AC,2012,7,28.0,10.5,23.95,991.45,6.45,0.8999999999999999,2,-1.2940364304762497
AC,2012,8,40.275,3.5,25.235,991.0777777777778,7.99,1.57,2,-1.1792644921263618
AC,2012,9,93.0,8.8,26.33,989.66875,9.118181818181817,1.6349999999999998,2,-0.6862827854462941
AC,2012,10,225.64000000000001,11.0,26.15,988.085,7.4,1.5772727272727272,2,0.553908652657911
AC,2012,11,294.29999999999995,20.0,25.75,986.9,6.9,1.6,2,1.1958835029310912
AC,2012,12,332.9,26.0,24.950000000000003,987.1,6.5,1.6,2,1.5567956675181112
AC,2013,1,430.4,24.0,25.299999999999997,988.55,7.199999999999999,1.6,2,2.4684261350630448
AC,2013,2,225.7,22.5,25.3,988.0,6.0,1.65,2,0.5544696560225537
AC,2013,3,310.6,26.5,25.35,988.7,6.35,1.6,2,1.34828941699245
AC,2013,4,54.0,12.5,25.45,989.5,6.55,1.65,2,-1.0509349724642674
AC,2013,5,113.9,18.5,24.799999999999997,990.2,6.9,1.425,2,-0.49086661342896976
AC,2013,6,76.9,18.5,25.049999999999997,990.55,5.699999999999999,1.2149999999999999,2,-0.8368186882921753
AC,2013,7,50.82857142857143,11.75,23.7,992.2,6.45,1.38,2,-1.0805880074525422
AC,2013,8,42.199999999999996,7.5,24.15,990.95,7.95,1.75,2,-1.161265634177398
AC,2013,9,104.42222222222222,9.5,25.7,989.6500000000001,9.6,1.75,2,-0.5794843671401754
AC,2013,10,160.5,17.0,25.5,988.5,8.75,1.35,2,-0.055154000222878564
AC,2013,11,276.6,22.0,25.35,986.6500000000001,7.0,1.55,2,1.0303875103613962
AC,2013,12,234.9,22.5,25.55,987.4,7.25,1.7,2,0.6404901719344861
AC,2014,1,329.5,25.5,25.049999999999997,988.4,5.65,1.65,2,1.525005476855006
AC,2014,2,232.3,22.5,25.0,988.05,5.75,1.5499999999999998,2,0.6161800261332879
AC,2014,3,386.3,26.0,24.950000000000003,988.75,6.9,1.45,2,2.0560886620504135
AC,2014,4,202.60000000000002,20.5,25.15,990.55,5.15,1.0791666666666666,2,0.33848336063498524
AC,2014,5,132.3857142857143,22.0,25.0,991.6071428571429,5.4,1.0678571428571428,2,-0.31802414822704383
AC,2014,6,66.37142857142857,11.555555555555555,24.65,992.4928571428572,5.91875,1.05,2,-0.9352614215640606
AC,2014,7,24.728571428571428,8.25,23.8125,994.24375,5.305555555555555,1.125,2,-1.3246244710722628
AC,2014,8,43.537499999999994,6.75,25.08125,993.0625,7.377777777777778,1.24375,2,-1.1487599341738968
AC,2014,9,100.32222222222222,9.841666666666667,26.395000000000003,990.86375,6.6450000000000005,1.3599999999999999,2,-0.6178195970574495
AC,2014,10,172.7490909090909,14.597902097902098,26.183333333333334,989.9440909090908,5.104166666666667,1.3,2,0.05937568667409518
AC,2014,11,213.31545454545454,11.208333333333332,25.906439393939397,988.8909090909091,5.977272727272728,1.3204545454545453,2,0.43867346152964354
AC,2014,12,305.58181818181816,18.5,25.15,989.4636363636364,5.7,1.2045454545454546,2,1.3013691355859411
AC,2015,1,389.5,28.0,24.5,989.6500000000001,6.65,1.4,2,2.086008841498042
AC,2015,2,328.4,22.5,25.1,988.6500000000001,8.2,1.55,2,1.5147204151698834
AC,2015,3,314.56,20.0,25.304545454545455,990.06,5.718181818181819,1.12,2,1.38531563905889
AC,2015,4,255.5222222222222,21.15,25.475,990.755,6.355,1.145,2,0.8333091061525368
AC,2015,5,123.3857142857143,15.5,24.9,991.9071428571428,5.722222222222222,1.042857142857143,2,-0.40217465292349924
AC,2015,6,57.471428571428575,14.055555555555555,24.75,992.9428571428572,5.61875,0.95,2,-1.0184769206527775
AC,2015,7,30.728571428571428,9.25,24.5625,993.39375,5.205555555555556,1.025,2,-1.2685241346079592
AC,2015,8,62.262499999999996,8.25,25.83125,992.2125000000001,6.777777777777778,1.19375,2,-0.9736801341248827
AC,2015,9,64.22222222222223,9.541666666666668,26.565,990.645,6.6450000000000005,1.375,2,-0.9553566214510094
AC,2015,10,145.8090909090909,8.5,26.95,990.2090909090908,7.85,1.3727272727272728,2,-0.19251482405062795
AC,2015,11,231.20000000000002,16.5,26.450000000000003,987.1500000000001,9.15,1.65,2,0.6058949644481656
AC,2015,12,308.70000000000005,20.5,25.75,988.9,7.7,1.5499999999999998,2,1.3305243104454207
AC,2016,1,146.0,21.5,26.35,987.8499999999999,7.25,1.6,2,-0.1907298133449456
AC,2016,2,167.0,20.5,25.9,988.5,7.65,1.5,2,0.005621364280116997
AC,2016,3,164.56,18.0,26.049999999999997,990.51,6.15,1.17,2,-0.01719277254869978
AC,2016,4,106.82222222222222,16.65,25.674999999999997,990.655,6.305,1.145,2,-0.5570442325544539
AC,2016,5,48.48571428571429,13.0,24.9,992.3571428571429,8.772222222222222,1.0928571428571427,2,-1.1024938531195558
AC,2016,6,53.971428571428575,5.555555555555555,24.704545454545453,992.6678571428572,5.456250000000001,0.9650000000000001,2,-1.0512021169236212
