Nome: BELO HORIZONTE - SANTO AGOSTINHO
Codigo Estacao: A572
Latitude: -19.93388888
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2025-08-27
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;4;5,6;916,3;22,2;4,6;2,1;
2025-10-31;7;32;914,9;22,5;4,8;2,1;
2025-11-30;15;179;911,8;23,1;4,2;1,6;
2025-12-31;18;232,2;911;24,3;5,5;1,5;
2026-01-31;18;382,6;912,7;22,7;4,3;1,5;
2026-02-28;20;null;911,5;23,2;3,6;1,2;
2026-03-31;16;147;911,9;23,3;5,1;1,3;
2026-04-30;8;71,4;913,7;23;4;1,4;

