Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2017-02-14
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;2;null;null;null;null;null;
2017-03-31;9;31,8;1009,9;25,9;9,1;3,4;
2017-04-30;14;71,2;1011,8;24,2;7,2;2,7;
2017-05-31;13;162,4;1013,6;22,2;6,4;2,5;
2017-06-30;10;106;1015,7;22,2;6,9;2,7;
2017-07-31;26;207;1021,1;19,8;8,1;null;
2017-08-31;7;12;1016;20,3;null;null;
2017-09-30;16;32,8;1018;21,3;null;null;
2017-10-31;9;54;1011,7;24;9,3;4,3;
2017-11-30;19;187;1009,7;23,4;9,7;3,6;
2017-12-31;12;174,6;1008,3;24,9;8,5;3,3;
2018-01-31;10;62,8;1008,9;26,3;8,7;3,8;
2018-02-28;13;173,6;1008,7;25,3;8;3;
2018-03-31;16;154,6;1008,3;25,8;7,3;2,4;
2018-04-30;23;189,2;1012,9;23,8;5,9;2,1;
2018-05-31;17;213,2;1014,5;22,1;7,4;2,3;
2018-06-30;14;42,6;1015,6;22;6,9;2,6;
2018-07-31;3;3,2;1015,8;21,4;7,4;2,6;
2018-08-31;17;128,4;1016;21,3;7,7;2,5;
2018-09-30;6;46,6;1012,3;22,8;9,2;3,3;
2018-10-31;13;139,4;1010,7;23,6;9,2;3,5;
2018-11-30;14;293,2;1010,9;24,2;8,8;3;
2018-12-31;11;118,6;1009,4;25,3;8;3,4;
2019-01-31;2;,6;1011,2;27,2;8,7;4,2;
2019-02-28;9;118,6;1008,2;27,2;8,6;3,2;
2019-03-31;9;38,4;1010;26,9;8,2;2,8;
2019-04-30;11;50,6;1009,9;25,9;7,8;2,5;
2019-05-31;6;217;1011,4;24,3;5,8;2,2;
2019-06-30;14;36,6;1016,3;22,5;9;2,4;
2019-07-31;10;40,2;1016,2;21;null;null;
2019-08-31;15;52,6;1018,3;21;7,8;2,9;
2019-09-30;9;89,4;1014,3;23;9,1;3,7;
2019-10-31;9;29;1011,7;24,2;9,7;3,7;
2019-11-30;5;null;null;25,6;9,2;null;
2019-12-31;null;null;null;null;8,9;null;
2020-01-31;1;null;null;null;7,1;null;
2020-02-29;11;117,6;1009,5;26,3;7,5;2,9;
2020-03-31;15;299,6;1010,5;24,8;6,4;2,3;
2020-04-30;11;25,8;1012,3;24;6,2;2,5;
2020-05-31;9;46,8;1013,8;22,1;8,3;2,5;
2020-06-30;10;77,2;1015,3;21,9;6,9;2,3;
2020-07-31;13;63,8;1015,7;21,4;7,3;2,4;
2020-08-31;10;101,6;1016,4;21,5;8,4;3,3;
2020-09-30;4;120,2;1013,7;23,6;9;3,9;
2020-10-31;18;159,4;1010,3;23,8;8,5;3,2;
2020-11-30;15;85;1010,3;24,1;8,5;2,8;
2020-12-31;8;143;1008,8;25,7;9,4;3,9;
2021-01-31;3;null;1010;26,3;9,4;3,8;
2021-02-28;15;215,4;1008,1;25,4;8,2;3,1;
2021-03-31;11;224;1009,2;25,4;7,4;2,5;
2021-04-30;17;93,4;1011,1;23,6;7,1;2,2;
2021-05-31;9;94,2;1013;22,6;7,2;2,5;
2021-06-30;14;85;1014,9;21,2;9;2,2;
2021-07-31;2;3,6;1017,3;20,3;7;2,6;
2021-08-31;8;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;10,6;null;
2021-11-30;3;null;null;null;7,9;null;
2021-12-31;16;91,4;1007,7;24,6;7,8;3,1;
2022-01-31;8;77,4;1008,7;26,1;8,4;3,3;
2022-02-28;13;133;1008,8;25,7;7,4;2,8;
2022-03-31;4;39;1009,9;26,3;7,5;3,1;
2022-04-30;4;12;1010,5;25,2;7,1;2,5;
2022-05-31;9;39;1012,9;22,6;7,1;2,6;
2022-06-30;5;9,4;1014;21,2;7,3;2,6;
2022-07-31;9;16,2;1016,3;21,7;7,4;2,6;
2022-08-31;9;26;1016;21,7;9,1;3,6;
2022-09-30;6;22,6;1014,1;21,8;8,5;3,4;
2022-10-31;12;96,6;1011,7;24,2;9,6;3,5;
2022-11-30;15;306,2;1010;23,2;8;3,3;
2022-12-31;22;274,2;1008,2;24,4;7,5;2,9;
2023-01-31;20;168,6;1009,2;25,7;8,2;3,3;
2023-02-28;2;12,6;1009,6;27;8,3;3,7;
2023-03-31;8;33;1010,9;26,4;7,6;2,8;
2023-04-30;20;116,6;1010,2;24,5;6,8;2,4;
2023-05-31;20;72,2;1013,7;22,3;6,9;2;
2023-06-30;4;17,2;1016;21,7;6,5;2,5;
2023-07-31;12;136,2;1016,6;21,1;8,3;2,5;
2023-08-31;11;172,4;1013,8;22,3;8,1;2,6;
2023-09-30;9;16,4;1013,4;23,5;8,4;3,7;
2023-10-31;16;44;1010,1;24,8;10,6;3,6;
2023-11-30;5;27,8;1008,8;25,9;9,4;3,8;
2023-12-31;14;94,2;1008,9;26,4;9,3;3,4;
2024-01-31;18;230,6;1007,8;26,4;7,6;3,1;
2024-02-29;12;128,8;1010,1;26,3;6,9;2,4;
2024-03-31;9;138,4;1009,2;26,8;6,8;2,4;
2024-04-30;11;73,6;1011,2;25,2;6,2;2;
2024-05-31;3;26,6;1012;25,1;7;2,3;
2024-06-30;null;null;null;null;6,6;null;
2024-07-31;3;19,6;1016,9;22,4;6,7;2,5;
2024-08-31;7;58,8;1016,4;22;8,8;3,1;
2024-09-30;6;26,4;1014;24,1;9,4;3,8;
2024-10-31;15;275,6;1011,4;24,3;9,2;3,2;
2024-11-30;17;169,6;1009,7;24,5;8;2,9;
2024-12-31;13;119,6;1008,1;26,2;8,6;3,3;
2025-01-31;14;143;1007,7;26,3;7,9;3;
2025-02-28;9;24,4;1010,6;27,2;7,7;3,1;
2025-03-31;13;132,4;1011;26,2;7,1;2,2;
2025-04-30;19;260,6;1010,1;24,6;6,8;2,4;
2025-05-31;23;177;1015,6;22,6;5,4;1,8;
2025-06-30;8;15,2;1015,7;21,6;6,5;2,3;
2025-07-31;6;33,4;1017,9;20,3;8,4;2,4;
2025-08-31;6;28;1017,1;21,1;7,2;2,6;
2025-09-30;17;147,6;1016,5;21,6;8,4;3;
2025-10-31;17;154,4;1014,4;22,6;8,7;3,4;
2025-11-30;15;35,4;1009,6;23,8;7,8;2,9;
2025-12-31;13;65,8;1007,7;25,9;7,9;3,5;
2026-01-31;11;256;1009,9;25,6;7,6;3;
2026-02-28;12;188,4;1007,4;26,7;9,7;2,9;
2026-03-31;19;163,6;1008,8;25,3;6,4;2,1;
2026-04-30;4;24,8;1010,9;24,9;6,4;2,4;

