Nome: PATY DO ALFERES - AVELAR
Codigo Estacao: A637
Latitude: -22.34722221
Longitude: -43.41777777
Altitude: 508
Situacao: Operante
Data Inicial: 2022-11-09
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-11-30;10;null;null;21,4;6,2;null;
2022-12-31;20;169,8;949;22;3,9;1,4;
2023-01-31;25;379,2;950,3;22,8;5,8;1,2;
2023-02-28;21;111;950,8;24;5,7;1,2;
2023-03-31;9;82,4;951,1;23,4;4;1,1;
2023-04-30;16;104,2;954,5;20,8;4,7;1;
2023-05-31;6;3,8;960,9;17,7;3,8;,9;
2023-06-30;11;10,8;962,5;15,9;3,5;,9;
2023-07-31;7;10;962,8;16,9;4,2;1,1;
2023-08-31;9;34;960,3;18,8;3,9;1,2;
2023-09-30;3;9,8;959,1;21,7;4,3;1,5;
2023-10-31;22;158,2;956,6;22,8;4,1;1,4;
2023-11-30;8;33,6;955,8;23,8;5,8;1,3;
2023-12-31;10;48,4;955,9;24,4;5;1,3;
2024-01-31;22;271,8;955,4;23,9;5,9;1,2;
2024-02-29;12;72,2;957,4;24,1;4,9;1,2;
2024-03-31;16;116,4;957,1;23,9;3,5;1,1;
2024-04-30;3;1;958,6;21,9;3,8;1,1;
2024-05-31;2;16;959,6;20,7;4,2;1,1;
2024-06-30;0;0;961,8;17,3;3,9;1;
2024-07-31;4;22,2;963,5;17,2;4,1;1;
2024-08-31;3;41;962,5;17,2;3,9;1,2;
2024-09-30;2;12,4;959,6;21,2;4;1,4;
2024-10-31;11;138,2;958,1;21,9;4,5;1,4;
2024-11-30;13;166,2;956,4;22,4;4,1;1,4;
2024-12-31;21;195,4;955,2;23,5;4;1,4;
2025-01-31;20;166,4;955;23,6;4,2;1,2;
2025-02-28;5;46;957,3;24,4;3,9;1,2;
2025-03-31;15;103,4;958,5;23,6;4,3;1,1;
2025-04-30;14;104,6;957,8;21,4;3,6;1,1;
2025-05-31;7;2,2;962,4;18,1;3,5;1;
2025-06-30;6;12;962,1;17,2;4,1;1,2;
2025-07-31;3;12;964,4;15,5;3,7;1;
2025-08-31;5;17,8;962,9;17,2;4,2;1,2;
2025-09-30;5;27,8;962,1;19,5;5,8;1,4;
2025-10-31;10;63,6;960,3;20,7;4,4;1,6;
2025-11-30;10;89,4;956,4;21,5;3,9;1,5;
2025-12-31;14;138,8;954,4;24,2;4,6;1,4;
2026-01-31;16;141,6;956,7;22,8;3,6;1,2;
2026-02-28;19;316,2;954,9;23,9;4,6;1,1;
2026-03-31;13;81,2;956,2;22,7;3,5;1,1;
2026-04-30;10;47;958,2;21,4;3,5;1;

