Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Desativada
Data Inicial: 2022-12-07
Data Final: 2025-10-19
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-12-31;5;null;1011,3;23;8,1;3,2;
2023-01-31;8;100,8;1010,8;25,5;7,8;2,9;
2023-02-28;12;151,8;1011,2;24,1;7,1;2,2;
2023-03-31;11;91,4;1012,6;25;7,4;2,2;
2023-04-30;5;50;1014,8;20;6,9;2,1;
2023-05-31;16;174;1017,5;17,6;7,6;1,6;
2023-06-30;14;188,6;1018,5;15,7;12,1;1,8;
2023-07-31;12;194,6;1018,9;15;12,6;2,1;
2023-08-31;6;73,4;1016,1;15,9;7,8;2,2;
2023-09-30;21;375,2;1013,7;18;10,2;2,8;
2023-10-31;13;99,4;1013,3;18,6;9,6;2,7;
2023-11-30;16;233,2;1011;21;9,3;2,7;
2023-12-31;14;110,4;1011,4;24;8,6;2,9;
2024-01-31;12;113,6;1012,4;24;10,6;2,9;
2024-02-29;7;67,4;1012,9;25,5;7,4;2,7;
2024-03-31;8;90;1013;24;11,2;2,2;
2024-04-30;17;247;1013,6;21,5;7,2;2,3;
2024-05-31;23;556,2;1015,5;16,7;9,3;2,4;
2024-06-30;15;175;1015,8;17;6,4;2;
2024-07-31;17;93,4;1022,4;13,3;8;2,1;
2024-08-31;12;69,4;1018,3;15;6,5;2,3;
2024-09-30;16;209,4;1014,6;18,3;8,7;2,6;
2024-10-31;12;73,6;1014,5;20,2;8,8;2,9;
2024-11-30;13;68;1012,3;22,7;8,7;3;
2024-12-31;12;225,6;1010,9;22,1;8,7;3,1;
2025-01-31;12;81,4;1010,4;24,5;7,6;2,8;
2025-02-28;12;82,8;1011,5;26;8,2;2,4;
2025-03-31;4;46,6;1014,5;24,6;11;2,3;
2025-04-30;15;82,8;1015,7;19,7;8;2;
2025-05-31;null;null;null;17,7;5,2;null;
2025-06-30;3;null;null;null;null;null;
2025-07-31;15;76;1022,5;12,5;12,2;1,7;
2025-08-31;18;171;1020;15,2;6,9;1,9;
2025-09-30;13;176,2;1018,2;17,2;5,3;1,9;
2025-10-31;7;null;null;null;null;null;

