Nome: CACHOEIRINHA
Codigo Estacao: B808
Latitude: -29.95138888
Longitude: -51.12416666
Altitude: 72
Situacao: Operante
Data Inicial: 2025-02-17
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-02-28;null;null;null;null;null;null;
2025-03-31;null;null;null;null;null;null;
2025-04-30;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;17,6;8,3;null;
2025-10-31;null;105,2;1017,9;19,6;7;2,3;
2025-11-30;null;65,4;1013,8;21,2;6,7;2,5;
2025-12-31;null;140,2;1009,3;24,6;6,9;2,2;
2026-01-31;null;48,6;1013;24,5;6,3;2,1;
2026-02-28;null;79,3;1011,9;24,7;6,7;2,1;
2026-03-31;null;null;null;24,6;6,8;null;
2026-04-30;null;58,2;1014,6;21,2;6,3;1,8;

