Nome: SAPUCAIA DO SUL
Codigo Estacao: B809
Latitude: -29.81388888
Longitude: -51.15666666
Altitude: 23
Situacao: Operante
Data Inicial: 2025-04-30
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-04-30;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;18,2;7,9;null;
2025-10-31;null;138,4;1016,3;20,5;5,4;1,8;
2025-11-30;null;82;1012,1;21,9;6;1,9;
2025-12-31;null;175,4;1007,5;25,2;7,5;1,7;
2026-01-31;null;61,2;1011,1;25,3;6,6;1,7;
2026-02-28;null;102;1009,9;25,4;4,9;1,7;
2026-03-31;null;84,1;1010,5;25,2;4,6;1,6;
2026-04-30;null;53,5;1012,6;21,9;5,6;1,5;

