Nome: PARQUE ELDORADO
Codigo Estacao: B810
Latitude: -30.09666666
Longitude: -51.67388888
Altitude: 50
Situacao: Operante
Data Inicial: 2025-02-17
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-02-28;null;null;null;null;null;null;
2025-03-31;null;null;null;null;null;null;
2025-04-30;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;16,5;8;null;
2025-10-31;null;103,8;1012;18,6;10,7;3,3;
2025-11-30;null;76,4;1008,3;20,2;13,8;3,5;
2025-12-31;null;null;1003,9;23,3;8,9;2,9;
2026-01-31;null;null;null;23,2;8,6;null;
2026-02-28;null;165,9;1006,8;22,7;10;2,9;
2026-03-31;null;80,8;1007,5;22,6;8,2;2,8;
2026-04-30;null;129;1008,7;19,7;10,8;2,6;

