Nome: SERTAO SANTANA
Codigo Estacao: B811
Latitude: -30.49416666
Longitude: -51.66333333
Altitude: 116
Situacao: Operante
Data Inicial: 2025-08-13
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;16,2;7,1;null;
2025-10-31;null;93,8;1001,9;18,3;7,3;2;
2025-11-30;null;105,4;999,3;20,5;10,9;2,2;
2025-12-31;null;207,8;995,1;23,7;5,8;1,8;
2026-01-31;null;71,2;998,5;23,6;6,9;1,9;
2026-02-28;null;null;997,4;23,7;6,3;1,8;
2026-03-31;null;123,2;998,1;23,3;5,4;1,7;
2026-04-30;null;104,2;999;20;6,4;1,6;

