Nome: CHARQUEADAS
Codigo Estacao: B812
Latitude: -29.96555555
Longitude: -51.62555554
Altitude: 23
Situacao: Operante
Data Inicial: 2025-04-30
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-04-30;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;17,9;6,4;null;
2025-10-31;null;115,4;null;19,8;7,4;2,5;
2025-11-30;null;55,8;null;21,6;9;2,7;
2025-12-31;null;151,4;1007,7;25;9,1;2,4;
2026-01-31;null;91,5;1011,3;25;5,9;2,3;
2026-02-28;null;106,7;1010,1;24,9;5,8;null;
2026-03-31;null;66,5;1010,5;25;7,3;2,1;
2026-04-30;null;99;1012,5;21,5;7,6;2,1;

