Nome: MONTENEGRO
Codigo Estacao: B814
Latitude: -29.75861111
Longitude: -51.4361111
Altitude: 15
Situacao: Operante
Data Inicial: 2025-07-31
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;19,1;6,7;null;
2025-11-30;null;99;1012,4;20,8;7,5;2,1;
2025-12-31;null;207,2;1007,9;24,2;5,5;1,6;
2026-01-31;null;59,8;1011,5;24,1;6,9;1,8;
2026-02-28;null;76,7;1010,2;24,2;7,3;1,8;
2026-03-31;null;128,1;1010,8;24,2;7,9;1,6;
2026-04-30;null;69,2;1012,9;20,5;5,6;1,6;

