Nome: TAQUARI
Codigo Estacao: B815
Latitude: -29.79166666
Longitude: -51.82749999
Altitude: 53
Situacao: Operante
Data Inicial: 2025-08-13
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;224;1013,7;17;19,6;2,5;
2025-10-31;null;null;1011,7;19,4;14,7;null;
2025-11-30;null;61,7;1007,5;21;14;2,7;
2025-12-31;null;233,7;1011;25;14,3;1,5;
2026-01-31;null;75,4;1021,4;26,5;10,3;1,6;
2026-02-28;null;null;null;null;null;null;
2026-03-31;null;null;null;null;3,8;null;
2026-04-30;null;107,2;null;null;9,9;1,7;

