Nome: SANTA MARIA DO HERVAL
Codigo Estacao: B816
Latitude: -29.47916666
Longitude: -51.01333333
Altitude: 650
Situacao: Operante
Data Inicial: 2025-08-20
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;null;8,1;null;
2025-11-30;null;null;939,6;18,4;7,2;2,7;
2025-12-31;null;180,9;936,8;22;6,7;2,3;
2026-01-31;null;51,9;939,9;21,5;6,1;2,4;
2026-02-28;null;52,3;939,6;21,7;6,1;2,3;
2026-03-31;null;77,9;940,3;22;5,6;2,2;
2026-04-30;null;null;null;null;null;null;

