Nome: CAXIAS DO SUL - CRIUVA
Codigo Estacao: B817
Latitude: -28.87416666
Longitude: -50.97555554
Altitude: 857
Situacao: Operante
Data Inicial: 2025-07-31
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;15;6,6;null;
2025-11-30;null;130,2;918,6;17,5;5,6;2,2;
2025-12-31;null;191,2;916,3;20,6;6,7;2;
2026-01-31;null;125,7;919,1;20;5,2;1,9;
2026-02-28;null;39,4;918,1;20,8;5,2;2;
2026-03-31;null;145,8;918,9;21,1;6;1,9;
2026-04-30;null;63,7;919,8;17,5;6;1,8;

