Nome: CAXIAS DO SUL - AEROPORTO
Codigo Estacao: B818
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 756
Situacao: Operante
Data Inicial: 2025-08-13
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;null;8,4;null;
2025-11-30;null;40,2;929,7;18,5;8;3,5;
2025-12-31;null;null;null;22,3;9,3;null;
2026-01-31;null;null;930,3;21,8;9,2;3,4;
2026-02-28;null;null;929,5;21,8;7,1;3,3;
2026-03-31;null;55,8;930,2;22,1;10,2;3;
2026-04-30;null;null;930,8;19,1;9;3,2;

