Nome: ROLANTE
Codigo Estacao: B819
Latitude: -29.65583333
Longitude: -50.61805554
Altitude: 69
Situacao: Operante
Data Inicial: 2025-08-17
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;17,8;8,7;null;
2025-10-31;null;145;1009,4;19,8;15;2,4;
2025-11-30;null;93,7;1005,1;20,7;11,1;2,3;
2025-12-31;null;162,3;1000,7;24,2;11,7;1,9;
2026-01-31;null;140,5;1004,6;24;11,3;1,9;
2026-02-28;null;51;1004;24,3;8,2;1,8;
2026-03-31;null;87,4;1004,5;24,5;6,3;1,6;
2026-04-30;null;44;1006,4;21,3;9,9;1,8;

