Nome: PORTO ALEGRE - BELEM NOVO
Codigo Estacao: B825
Latitude: -30.1861111
Longitude: -51.17833332
Altitude: 3.3
Situacao: Operante
Data Inicial: 2025-04-30
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-04-30;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;19,3;9,2;null;
2025-11-30;null;83,6;1013,6;20,9;13,8;3,1;
2025-12-31;null;95;1009;24,4;8,7;2,6;
2026-01-31;null;92,8;1012,7;24,6;8,8;2,8;
2026-02-28;null;53,2;1011,6;24,7;8,7;2,7;
2026-03-31;null;74;1012,3;24,3;7,7;2,5;
2026-04-30;null;98,2;1014;21,2;7,2;2,2;

