Nome: BAGE - CENTRO
Codigo Estacao: B827
Latitude: -31.30555555
Longitude: -54.01333333
Altitude: 226.2
Situacao: Operante
Data Inicial: 2025-07-31
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-07-31;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;
2025-10-31;null;null;null;18,1;8,6;null;
2025-11-30;null;82,8;985,9;20,1;7,3;2,9;
2025-12-31;null;null;null;24,7;8,2;null;
2026-01-31;null;null;985;24;7,7;2,6;
2026-02-28;null;58,4;984,1;24,1;6,8;2,8;
2026-03-31;null;86,6;984,8;22,8;6,8;2,7;
2026-04-30;null;67,4;986;19,5;7,8;2,4;

